층,행선,n,월소득,월주거비,주거비비중%,주거비뺀소득,명목격차,주거비격차,실질격차,격차유지%
전체(구성 효과 포함),부산 잔류,492,214.6,41.1,19.2,173.5,,,,
전체(구성 효과 포함),수도권 이탈,290,252.6,35.0,13.9,217.6,38.0,-6.1,44.1,116.0
전체(구성 효과 포함),그 외 지역,340,265.1,38.7,14.6,226.4,50.5,-2.4,52.9,105.0
독립 거주(자취·분가),부산 잔류,366,215.6,34.9,16.2,180.7,,,,
독립 거주(자취·분가),수도권 이탈,238,253.5,37.5,14.8,216.0,37.9,2.6,35.3,93.0
독립 거주(자취·분가),그 외 지역,200,265.4,37.9,14.3,227.5,49.8,3.0,46.8,94.0
독립 거주 · 보증금 월세,부산 잔류,214,202.9,43.0,21.2,159.8,,,,
독립 거주 · 보증금 월세,수도권 이탈,125,249.2,43.5,17.5,205.6,46.3,0.5,45.8,99.0
독립 거주 · 보증금 월세,그 외 지역,101,240.6,45.8,19.0,194.8,37.7,2.8,34.9,93.0
