크로스워크,학제,수요,대졸직종_배출%,대졸직종_수요%,ρ,격차_경영·사무·금융·보험,격차_연구·공학기술,격차_교육·법률·사회복지·경찰·소방,격차_보건·의료,격차_예술·디자인·방송·스포츠,격차_미용·여행·숙박·음식·경비·돌봄·청소,격차_영업·판매·운전·운송,격차_건설·채굴,격차_설치·정비·생산,격차_농림어업,배율
언어→0 / 인문→2 / 생활→0,전문대만,민간(크롤링),51.347,28.254,-0.758,-2.108,2.832,5.3,14.961,13.106,-15.943,-9.574,0.04,-8.557,-0.056,1.817
언어→0 / 인문→2 / 생활→3,전체,공공(고용24),49.326,13.723,-0.673,14.163,16.713,5.196,13.694,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.594
언어→0 / 인문→2 / 생활→3,전체,민간(크롤링),49.326,28.254,-0.673,1.272,10.906,7.072,3.095,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.746
언어→0 / 인문→2 / 생활→3,4년제만,공공(고용24),46.216,13.723,-0.624,17.35,19.222,4.62,8.65,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.368
언어→0 / 인문→2 / 생활→3,4년제만,민간(크롤링),46.216,28.254,-0.624,4.458,13.415,6.496,-1.949,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.636
언어→0 / 인문→2 / 생활→3,전문대만,공공(고용24),58.194,13.723,-0.794,3.936,8.639,3.424,32.408,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,4.241
언어→0 / 인문→2 / 생활→3,전문대만,민간(크롤링),58.194,28.254,-0.794,-8.955,2.832,5.3,21.808,13.106,-15.943,-9.574,0.04,-8.557,-0.056,2.06
언어→0 / 인문→2 / 생활→5,전체,공공(고용24),45.891,13.723,-0.588,14.163,16.713,5.196,10.259,11.292,-41.438,-2.403,-1.458,-11.483,-0.842,3.344
언어→0 / 인문→2 / 생활→5,전체,민간(크롤링),45.891,28.254,-0.588,1.272,10.906,7.072,-0.341,8.569,-12.508,-7.292,0.784,-8.617,0.156,1.624
언어→0 / 인문→2 / 생활→5,4년제만,공공(고용24),43.695,13.723,-0.564,17.35,19.222,4.62,6.129,10.168,-42.352,-1.715,-1.236,-11.41,-0.777,3.184
