,전체(대/공공(고,전체(대/민간(크,전체(대/민간(대,4년제만/공공(고,4년제만/민간(크,4년제만/민간(대,전문대만/공공(고,전문대만/민간(크,전문대만/민간(대,최소,최대,판정
경영·사무·금융·보험,16.76600895623231,3.8742949749649256,-2.435806131550926,19.494427195005418,6.602713213738035,0.2926121072221832,8.285731134917476,-4.605982846349907,-10.916083952865758,-10.916083952865758,19.494427195005418,불확정
연구·공학기술,15.6387734640625,9.831424903672076,-1.7376609187117786,17.872770074549678,12.065421514159254,0.4963356917753998,8.499397838346201,2.69204927795578,-8.877036544428075,-8.877036544428075,17.872770074549678,불확정
교육·법률·사회복지·경찰·소방,6.157202303292692,8.033146394902317,-9.082414250184605,5.923071853008073,7.7990159446176985,-9.316544700469224,3.2110681700321386,5.087012261641764,-12.028548383445159,-12.028548383445159,8.033146394902317,불확정
보건·의료,11.28964730504682,0.6897892213597849,6.366456455404777,6.885780137657926,-3.714077946029109,1.9625892880158835,27.614817494159603,17.014959410472567,22.69162664451756,-3.714077946029109,27.614817494159603,불확정
예술·디자인·방송·스포츠,12.443300107310773,9.720221690785916,10.025345493879234,11.620513575872636,8.89743515934778,9.202558962441097,15.957932664043195,13.234854247518339,13.539978050611657,8.89743515934778,15.957932664043195,과잉 확정
미용·여행·숙박·음식·경비·돌봄·청소,-43.842561019098035,-14.912356601154785,-0.006328808761291382,-44.11690889669507,-15.186704478751821,-0.2806766863583261,-42.818929057907866,-13.88872463996462,1.0173031524288745,-44.11690889669507,1.0173031524288745,불확정
영업·판매·운전·운송,-4.132941629612741,-9.022345076936883,-7.635387696519967,-3.582380129177382,-8.471783576501524,-7.084826196084608,-6.002167352406361,-10.891570799730502,-9.504613419313586,-10.891570799730502,-3.582380129177382,과소 확정
건설·채굴,-1.4581455187579764,0.7840000855025139,0.9212636862938691,-1.2359714550078884,1.006174149252602,1.1434377500439572,-2.2021561168040074,0.03998948745648301,0.17725308824783825,-2.2021561168040074,1.1434377500439572,불확정
설치·정비·생산,-12.019778421321096,-9.154412976894399,3.214280612093553,-12.084476654515278,-9.219111210088581,3.149582378899371,-11.491743206002978,-8.626377761576281,3.7423158274116712,-12.084476654515278,3.7423158274116712,불확정
농림어업,-0.8415055471552517,0.15623738379852697,0.37025155805712884,-0.7768257006981202,0.22091723025565857,0.4349314045142605,-1.0539515683774057,-0.05620863742362686,0.15780553683497503,-1.0539515683774057,0.4349314045142605,불확정
