직종대분류,고졸이하,대졸이상,미기재,전문대졸,학력무관,공고수
경영·사무·금융·보험,13.1,11.6,7.4,14.8,53.0,5891
미용·여행·숙박·음식·경비·돌봄·청소,6.0,0.6,3.3,3.5,86.6,3815
설치·정비·생산,14.6,2.1,3.9,5.2,74.2,3812
보건·의료,13.8,5.4,1.1,36.5,43.3,3214
영업·판매·운전·운송,11.0,8.1,9.6,10.5,60.8,2673
연구·공학기술,7.7,21.1,8.0,20.5,42.7,2162
교육·법률·사회복지·경찰·소방·군인,2.7,36.7,1.9,17.9,40.7,1385
미분류,11.8,8.0,20.1,12.9,47.1,1206
예술·디자인·방송·스포츠,6.9,8.5,5.0,12.5,67.1,839
건설·채굴,14.5,5.3,3.9,5.3,71.1,76
농림어업,6.5,1.6,9.7,4.8,77.4,62
