산업군,공고수,정규직률,대졸이상률,학력무관률,연봉중앙
미상,6477,67.3,6.5,58.7,2592.0
제조,4770,88.9,12.3,59.3,3120.0
보건·의료·복지,3972,88.2,5.1,50.0,2838.0
유통·판매·무역,1707,87.2,8.5,62.7,3000.0
음식·숙박·여가,1680,84.7,2.8,76.7,3000.0
기타,1476,65.1,7.0,71.3,3000.0
사업·전문서비스,1476,59.8,7.2,72.8,3000.0
건설·부동산,1174,68.4,9.0,63.9,3360.0
교육,942,55.7,45.1,29.3,3104.0
운수·물류,641,79.1,6.4,60.8,4560.0
IT·정보통신,541,85.0,21.4,55.5,3000.0
금융·보험,279,40.9,4.7,62.7,3300.0
