세부사업명,분야,계열,성격,취창업 여부,예산_백만원
청년 맞춤형 민간 임대주택 공급(부산희망더함주택),주거,전계열,생활지원,취창업무관,400.0
청년 사회진입 활동비 지원 사업,일자리,전계열,수요·매칭,취업준비,1982.0
청년 신용회복지원,복지문화,전계열,생활지원,취창업무관,400.0
청년 어촌 정착지원,일자리,농림·수산,수요·매칭,예비창업청년,37.0
청년 임차보증금 이자 지원,주거,전계열,생활지원,취창업무관,1600.0
청년 자산형성지원 (부산청년 기쁨두배 통장),복지문화,전계열,생활지원,취창업무관,20500.0
청년 전세보증금 반환보증 보증료 지원,주거,전계열,생활지원,취창업무관,600.0
청년 주택 공급 확대 (매입임대 주택),주거,전계열,생활지원,취창업무관,
청년 주택 공급 확대 (행복주택 및 통합공공임대주택),주거,전계열,생활지원,취창업무관,473.0
청년 커뮤니티 활동 지원,참여권리,전계열,생활지원,취창업무관,140.0
청년 프로그램 지원,참여권리,전계열,생활지원,취창업무관,100.0
청년 해외취업 지원사업(해외박람회),일자리,전계열,수요·매칭,취창업무관,60.0
청년고용 우수기업 인증‧지원,일자리,전계열,수요·매칭,취창업무관,120.0
청년농업인 영농정착 지원,일자리,농림·수산,수요·매칭,예비창업청년,515.0
청년도시재생사 양성 사업,교육,건설·토목,양성,취업준비,86.0
청년도전 지원사업,일자리,전계열,수요·매칭,취업준비,1372.0
청년두드림센터 운영,일자리,전계열,수요·매칭,취업준비,500.0
청년마음건강지원사업(바우처),복지문화,전계열,생활지원,취창업무관,466.0
청년만원문화패스 사업,복지문화,전계열,생활지원,취창업무관,700.0
청년문화 축제 개최,복지문화,전계열,생활지원,취창업무관,440.0
청년문화육성지원 사업,복지문화,전계열,양성,취창업무관,900.0
청년사회서비스사업단 운영,복지문화,전계열,생활지원,취창업무관,121.0
청년월세 한시 특별지원,주거,전계열,생활지원,취창업무관,4305.0
청년정책 홍보 ,참여권리,전계열,생활지원,취창업무관,130.0
청년취업 정장 대여서비스 지원,일자리,전계열,수요·매칭,취업준비,350.0
청소년쉼터 퇴소청소년 자립지원수당 지원,주거,전계열,생활지원,취창업무관,91.0
초초기 스타트업 자금지원,일자리,전계열,창업,예비창업청년,887.0
취업연수생 고용사업 ,일자리,전계열,수요·매칭,취업준비,1185.0
클라우드 융합 계약학과 운영 지원,교육,IT·컴퓨터,양성,취업청년,252.0
패션디자인 분야 인력양성 (대학패션페스티벌 개최 지원),교육,디자인·예술,양성,취업준비,88.0
패션디자인 분야 인력양성 (부산패션창작 스튜디오 운영),교육,디자인·예술,양성,취창업무관,250.0
프로젝트 기반의 산업별 맞춤형 인재양성,교육,전계열,양성,취업준비,500.0
한아세안프런티어포럼 개최,참여권리,전계열,생활지원,취창업무관,50.0
항만물류 전문인력 양성사업 (해운항만물류 전문인력 양성사업),교육,물류·운송,양성,취창업무관,827.0
해양금융 전문인력 양성지원,교육,경영·사무,양성,취창업무관,460.0
혁신융합캠퍼스 구축 운영 지원,교육,전계열,양성,취창업무관,506.0
화장품 제조판매 전문인력 양성,교육,전계열,양성,취창업무관,70.0
