시군구,공고수,정규직률,대졸이상률,학력무관률,신입가능률
강서구,3839,84.7,10.3,63.2,62.0
해운대구,2960,78.5,12.6,60.5,60.8
부산진구,2526,75.7,7.8,61.0,66.4
기장군,1749,80.5,8.2,67.5,67.9
사상구,1745,81.8,8.0,64.9,64.4
사하구,1476,78.4,6.5,66.3,71.3
동래구,1220,79.0,12.4,58.1,67.6
남구,1211,75.6,10.2,58.9,65.0
금정구,1101,78.2,7.8,63.5,68.8
연제구,1059,79.5,8.2,61.4,65.8
수영구,1039,78.2,8.7,62.1,62.6
동구,871,71.8,10.2,58.2,61.7
북구,807,78.1,9.0,57.4,70.5
중구,696,80.9,9.8,58.3,65.7
서구,459,66.4,4.8,71.0,74.9
영도구,442,77.1,7.7,66.1,69.5
