연월,산업,시도,값
2025-08,도매 및 소매업,전라북도,357
2025-08,도매 및 소매업,전라남도,248
2025-08,도매 및 소매업,경상북도,354
2025-08,도매 및 소매업,경상남도,798
2025-08,도매 및 소매업,제주도,82
2025-08,운수 및 창고업,전 체,8010
2025-08,운수 및 창고업,서울,5332
2025-08,운수 및 창고업,부산,256
2025-08,운수 및 창고업,대구,59
2025-08,운수 및 창고업,인천,393
2025-08,운수 및 창고업,광주,62
2025-08,운수 및 창고업,대전,30
2025-08,운수 및 창고업,울산,92
2025-08,운수 및 창고업,세종시,8
2025-08,운수 및 창고업,경기도,1017
2025-08,운수 및 창고업,강원도,65
2025-08,운수 및 창고업,충청북도,53
2025-08,운수 및 창고업,충청남도,91
2025-08,운수 및 창고업,전라북도,73
2025-08,운수 및 창고업,전라남도,97
2025-08,운수 및 창고업,경상북도,124
2025-08,운수 및 창고업,경상남도,242
2025-08,운수 및 창고업,제주도,16
2025-08,숙박 및 음식점업,전 체,4176
2025-08,숙박 및 음식점업,서울,1560
2025-08,숙박 및 음식점업,부산,275
2025-08,숙박 및 음식점업,대구,37
2025-08,숙박 및 음식점업,인천,195
2025-08,숙박 및 음식점업,광주,25
2025-08,숙박 및 음식점업,대전,32
2025-08,숙박 및 음식점업,울산,35
2025-08,숙박 및 음식점업,세종시,7
2025-08,숙박 및 음식점업,경기도,991
2025-08,숙박 및 음식점업,강원도,146
2025-08,숙박 및 음식점업,충청북도,108
2025-08,숙박 및 음식점업,충청남도,90
2025-08,숙박 및 음식점업,전라북도,174
2025-08,숙박 및 음식점업,전라남도,114
2025-08,숙박 및 음식점업,경상북도,137
2025-08,숙박 및 음식점업,경상남도,170
2025-08,숙박 및 음식점업,제주도,80
2025-08,정보통신업,전 체,1307
2025-08,정보통신업,서울,427
2025-08,정보통신업,부산,139
2025-08,정보통신업,대구,62
2025-08,정보통신업,인천,21
2025-08,정보통신업,광주,29
2025-08,정보통신업,대전,79
2025-08,정보통신업,울산,14
2025-08,정보통신업,세종시,3
2025-08,정보통신업,경기도,219
2025-08,정보통신업,강원도,15
2025-08,정보통신업,충청북도,13
2025-08,정보통신업,충청남도,62
2025-08,정보통신업,전라북도,21
2025-08,정보통신업,전라남도,87
2025-08,정보통신업,경상북도,46
2025-08,정보통신업,경상남도,54
2025-08,정보통신업,제주도,16
2025-08,금융 및 보험업,전 체,890
2025-08,금융 및 보험업,서울,322
2025-08,금융 및 보험업,부산,202
2025-08,금융 및 보험업,대구,23
2025-08,금융 및 보험업,인천,5
2025-08,금융 및 보험업,광주,6
2025-08,금융 및 보험업,대전,32
2025-08,금융 및 보험업,울산,2
2025-08,금융 및 보험업,세종시,2
2025-08,금융 및 보험업,경기도,84
2025-08,금융 및 보험업,강원도,36
2025-08,금융 및 보험업,충청북도,8
2025-08,금융 및 보험업,충청남도,16
2025-08,금융 및 보험업,전라북도,46
2025-08,금융 및 보험업,전라남도,31
2025-08,금융 및 보험업,경상북도,23
2025-08,금융 및 보험업,경상남도,36
2025-08,금융 및 보험업,제주도,16
2025-08,부동산업,전 체,2976
2025-08,부동산업,서울,626
2025-08,부동산업,부산,503
2025-08,부동산업,대구,365
2025-08,부동산업,인천,111
2025-08,부동산업,광주,47
2025-08,부동산업,대전,12
2025-08,부동산업,울산,46
2025-08,부동산업,세종시,0
2025-08,부동산업,경기도,395
2025-08,부동산업,강원도,177
2025-08,부동산업,충청북도,38
2025-08,부동산업,충청남도,213
2025-08,부동산업,전라북도,185
2025-08,부동산업,전라남도,105
2025-08,부동산업,경상북도,57
2025-08,부동산업,경상남도,86
2025-08,부동산업,제주도,10
2025-08,"전문, 과학 및 기술 서비스업",전 체,5132
2025-08,"전문, 과학 및 기술 서비스업",서울,774
2025-08,"전문, 과학 및 기술 서비스업",부산,492
2025-08,"전문, 과학 및 기술 서비스업",대구,183
2025-08,"전문, 과학 및 기술 서비스업",인천,231
2025-08,"전문, 과학 및 기술 서비스업",광주,116
2025-08,"전문, 과학 및 기술 서비스업",대전,183
2025-08,"전문, 과학 및 기술 서비스업",울산,139
2025-08,"전문, 과학 및 기술 서비스업",세종시,71
2025-08,"전문, 과학 및 기술 서비스업",경기도,1012
