통합키,사이트,원본공고ID,회사명,회사키,공고제목,직무,경력구분,최소연차,고용형태,고용형태표준,알바여부,시도,시군구,지역원문,기술스택,마감일,마감구분,공고URL,외부원본ID,수집시각
,부산일자리정보망,,대상단과학원,대상단과학원,초등-중2. 학원 영어 강사 구합니다.,강사,기타,,,,,,,,,2026-09-19,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816924,jobkorea:816924,2026-09-07 22:33:19
,부산일자리정보망,,㈜교원구몬,교원구몬,2026년 하반기 구몬선생님 모집,,기타,,,,,,,,,2026-10-01,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816923,jobkorea:816923,2026-09-07 22:33:19
,부산일자리정보망,,텔유어월드,텔유어월드,[파크골프 성장시장] 파크골프 용품 세일즈 영업 담당자 채용(경력 무관),"세일즈, 영업",경력,1,,,,,,,,2026-10-08,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816922,jobkorea:816922,2026-09-07 22:33:19
,부산일자리정보망,,에이치엠이㈜,에이치엠이,"물류팀-납품 및 출하준비(배전반,콘솔및 전기판넬)","물류, 전기, 콘솔및 전기판넬",기타,,,,,,,,,2026-09-30,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816921,jobkorea:816921,2026-09-07 22:33:19
,부산일자리정보망,,좋은비타민,좋은비타민,[부산] 건강코디네이터 채용(약국 내 영양제 상담) 안정적 급여와성과급,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816920,jobkorea:816920,2026-09-07 22:33:19
,부산일자리정보망,,㈜에스씨에이게임부산,에스씨에이게임부산,게임3D애니메이션 교육부 강사 채용(SBS아카데미게임학원 부산),"애니메이션, 교육, 강사",기타,,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816919,jobkorea:816919,2026-09-07 22:33:20
,부산일자리정보망,,㈜에스씨에이게임부산,에스씨에이게임부산,"[입시미술] SBS아카데미게임학원(부산) 교육부 강사 (만화, 캐릭터, 배경)","교육, 강사",기타,,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816918,jobkorea:816918,2026-09-07 22:33:20
,부산일자리정보망,,㈜에스씨에이게임부산,에스씨에이게임부산,"[게임원화(2D캐릭터,배경,UI] SBS아카데미게임학원(부산) 교육부 강사","원화, UI, 교육, 강사, 게임원화 2D캐릭터",기타,,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816917,jobkorea:816917,2026-09-07 22:33:20
,부산일자리정보망,,㈜에스씨에이게임부산,에스씨에이게임부산,웹소설 강사 채용(교육부) [SBS아카데미게임학원 부산점],"강사, 교육, 교육부",기타,,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816916,jobkorea:816916,2026-09-07 22:33:20
,부산일자리정보망,,㈜더좋은,더좋은,[ 부산 지역] 약국 내 영양제 상담(건강코디네이터 채용),,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816915,jobkorea:816915,2026-09-07 22:33:20
,부산일자리정보망,,유림텔레콤,유림텔레콤,[엘지유플러스] 유림텔레콤 거제1동 연제구점에서 신입 직원을 채용합니다,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816914,jobkorea:816914,2026-09-07 22:33:20
,부산일자리정보망,,부동산매니져마당발공인중개사사무소,부동산매니져마당발공인중개사사무소,부산 수영구 마당발에서 함께하실 소속 공인중개사 모십니다,,기타,,,,,,,,,2026-09-14,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816913,jobkorea:816913,2026-09-07 22:33:20
,부산일자리정보망,,원광제약㈜,원광제약,원광제약(주) 부산/경남지역 영업사원 채용,영업,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816912,jobkorea:816912,2026-09-07 22:33:20
,부산일자리정보망,,㈜디오,디오,(주)디오 품질경영시스템 운영 및 관리 담당자 채용,"품질, 경영, 시스템",경력,3,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816911,jobkorea:816911,2026-09-07 22:33:20
,부산일자리정보망,,㈜디오,디오,(주)디오 생산지원팀 생산관리 담당자 채용,"생산, 생산관리",경력,5,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816910,jobkorea:816910,2026-09-07 22:33:20
,부산일자리정보망,,스페이스유통,스페이스유통,스페이스 컴퍼니에서 함께하실 직원을 모집합니다.,,기타,,,,,,,,,2026-10-08,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816909,jobkorea:816909,2026-09-07 22:33:20
,부산일자리정보망,,알티지종합건설,알티지종합건설,[부산] RTG종합건설 현장직 경력 (건축안전 겸직),"현장, 건축, 건축안전 겸직",경력,5,,,,,,,,2026-09-13,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816908,jobkorea:816908,2026-09-07 22:33:20
,부산일자리정보망,,와이제이와이푸드㈜,와이제이와이푸드,부산 해운대 대표 빵집 `부산당 해운대 본점`에서 베이커리 추가 팀원 모집,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816907,jobkorea:816907,2026-09-07 22:33:22
,부산일자리정보망,,㈜케어링 주간보호센터 부산 진구점,케어링주간보호센터부산진구점,[케어링] 주간보호 요양보호사 채용 (부산 진구점),요양보호,경력,1,,,,,,,,2026-09-30,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816906,jobkorea:816906,2026-09-07 22:33:22
,부산일자리정보망,,㈜라온컴퍼니,라온컴퍼니,부산 해운대 모델하우스 인포 안내데스크  직원모집.,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816905,jobkorea:816905,2026-09-07 22:33:22
,부산일자리정보망,,㈜라온컴퍼니,라온컴퍼니,부산 분양모델하우스 영업팀 운영관리 지원팀 신입경력 모집.,"영업, 운영관리",기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816904,jobkorea:816904,2026-09-07 22:33:22
,부산일자리정보망,,존슨콘트롤즈인터내셔널코리아㈜,존슨콘트롤즈인터내셔널코리아,[부산] Trade Compliance Specialist,,경력,5,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816903,jobkorea:816903,2026-09-07 22:33:22
,부산일자리정보망,,㈜에스씨에이아카데미부산,에스씨에이아카데미부산,"[부산 서면역] 2026년 상반기 컴퓨터아트학원 상담선생님, 학생관리자 모집",,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816902,jobkorea:816902,2026-09-07 22:33:22
,부산일자리정보망,,상생식품,상생식품,부산경남 식자재 유통/납품/출고 기사님 모집 (신입가능/1종보통),"유통, 기사",기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816901,jobkorea:816901,2026-09-07 22:33:22
,부산일자리정보망,,㈜유에스티21,유에스티21,(주)유에스티21 해양융합본부 채용,,경력,1,,,,,,,,2026-09-18,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816900,jobkorea:816900,2026-09-07 22:33:22
,부산일자리정보망,,오앤아이,오앤아이,간단한 아웃바운드 스케줄 TM 사원 모집,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816899,jobkorea:816899,2026-09-07 22:33:22
,부산일자리정보망,,토곡팡,토곡팡,토곡팡 베이커리 반죽파트를 구합니다,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816898,jobkorea:816898,2026-09-07 22:33:22
,부산일자리정보망,,부산배터리매니저 학장점,부산배터리매니저학장점,물류관리 직원 모집(출장 배터리 교체 서비스 병행),물류관리,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816897,jobkorea:816897,2026-09-07 22:33:22
,부산일자리정보망,,주식회사 이팔육,이팔육,프랜차이즈 업무 담당자 모집,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816896,jobkorea:816896,2026-09-07 22:33:22
,부산일자리정보망,,여록,여록,해운대 여록 (프리미엄 기프트샵) 매장 스태프 채용,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816895,jobkorea:816895,2026-09-07 22:33:23
,부산일자리정보망,,㈜첫눈소프트,첫눈소프트,부산/은행/Websquare/10/19/4개월/고급,,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816894,jobkorea:816894,2026-09-07 22:33:23
,부산일자리정보망,,뮤엠영어학원,뮤엠영어학원,"기장 정관 뮤엠영어학원 1호점 - 초,중등  영어 강사님 모집합니다:)",강사,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816893,jobkorea:816893,2026-09-07 22:33:23
,부산일자리정보망,,한화호텔앤드리조트㈜,한화호텔앤드리조트,[한화H&R] 힐스테이트 해운대 센터럴 (팔라티움) 미화사원 채용,미화,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816892,jobkorea:816892,2026-09-07 22:33:23
,부산일자리정보망,,아유디스터디,아유디스터디,온라인 쇼핑몰 나이니 물류팀 정직원 채용,물류,기타,,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816891,jobkorea:816891,2026-09-07 22:33:23
,부산일자리정보망,,주식회사 앤아버교육서비스(부산지점),앤아버교육서비스,부산 앤아버어학원 데스크 관리 실장 선생님 구인,,기타,,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816890,jobkorea:816890,2026-09-07 22:33:23
,부산일자리정보망,,르노코리아 해운대대리점,르노코리아해운대대리점,[부산] 르노코리아 영업 담당 모집,영업,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816888,jobkorea:816888,2026-09-07 22:33:23
,부산일자리정보망,,㈜씨앤엠,씨앤엠,(주)씨앤엠 기업 경영공시 IR 담당 경력직 모집,"경영, IR",경력,5,,,,,,,,2026-09-23,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816887,jobkorea:816887,2026-09-07 22:33:23
,부산일자리정보망,,페텔,페텔,콘텐츠 및 퍼포먼스 마케터(경력),콘텐츠,경력,2,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816886,jobkorea:816886,2026-09-07 22:33:23
,부산일자리정보망,,㈜영진아이엔씨,영진아이엔씨,[의류벤더] 채용공고 - 수출사업부,,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816885,jobkorea:816885,2026-09-07 22:33:23
,부산일자리정보망,,한화호텔앤드리조트㈜,한화호텔앤드리조트,[한화H&R] 팔라티움(부산/해운대) 전기 파트장 채용,전기,경력,5,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816884,jobkorea:816884,2026-09-07 22:33:23
,부산일자리정보망,,㈜유종,유종,"해운대(장산역)고투스시- 주방 과장급, 대리급 채용",주방,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816883,jobkorea:816883,2026-09-07 22:33:24
,부산일자리정보망,,(자)태광상사,태광상사,"주류 배송, 남품기사님을 모집합니다.","배송, 기사",경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816882,jobkorea:816882,2026-09-07 22:33:24
,부산일자리정보망,,한국오션플랫폼㈜,한국오션플랫폼,[상시]해상풍력 및 해저케이블 PM 채용 (경력),PM,경력,5,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816881,jobkorea:816881,2026-09-07 22:33:24
,부산일자리정보망,,"㈜엘렉트 (ELLECT Co., Ltd.)",엘렉트,[부산미음] 임베디드 소프트웨어 엔지니어,"임베디드, 소프트웨어, 엔지니어",경력,3,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816880,jobkorea:816880,2026-09-07 22:33:24
,부산일자리정보망,,더 스파 하스타,더스파하스타,[해운대 팔라티움 소노 스파 마레] 매니저 채용,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816879,jobkorea:816879,2026-09-07 22:33:24
,부산일자리정보망,,우즈베이커리 민락점,우즈베이커리민락점,우즈베이커리 민락점에서 제빵사를 모집합니다,제빵,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816878,jobkorea:816878,2026-09-07 22:33:24
,부산일자리정보망,,한국오션플랫폼㈜,한국오션플랫폼,[상시]해상풍력 및 해저 케이블 시공 채용,시공,기타,,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816877,jobkorea:816877,2026-09-07 22:33:24
,부산일자리정보망,,㈜부형이엔디(E&D),부형이엔디,기계설비/소방설비 사무직 및 현장시공 신입/경력직 모집,"기계, 설비, 소방, 사무, 현장, 시공",기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816876,jobkorea:816876,2026-09-07 22:33:24
,부산일자리정보망,,(주)케이이씨디바이스 구미지점,케이이씨디바이스구미지점,[부산] 반도체 공장 시설관리 유지보수 담당자 모집,"반도체, 시설관리",경력,2,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816875,jobkorea:816875,2026-09-07 22:33:24
,부산일자리정보망,,에스케이비퍼시픽㈜,에스케이비퍼시픽,배관 철강 자재 해외 영업 담당(영어/일본어),"배관, 영업",경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816874,jobkorea:816874,2026-09-07 22:33:24
,부산일자리정보망,,㈜팬스타로보틱스,팬스타로보틱스,기술스타트업 경영관리 담당자 모집(부산/포항),경영,경력,1,,,,,,,,2026-09-20,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816873,jobkorea:816873,2026-09-07 22:33:24
,부산일자리정보망,,㈜게이트에프앤비 동탄점,게이트에프앤비동탄점,[롯데백화점 부산] 타이레스토랑 GATE9(게이트나인) 홀 점장 채용,,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816872,jobkorea:816872,2026-09-07 22:33:24
,부산일자리정보망,,윌로펌프㈜,윌로펌프,부산 해외영업-Japan Business 신입 및 경력사원 모집,해외영업,기타,,,,,,,,,2026-09-20,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816871,jobkorea:816871,2026-09-07 22:33:25
,부산일자리정보망,,유창의료기,유창의료기,의료용품/복지용품 납품직원 모집,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816870,jobkorea:816870,2026-09-07 22:33:25
,부산일자리정보망,,구봉무역㈜,구봉무역,자재 발주 및 사무직보조 정규직 채용,사무,기타,,,,,,,,,2026-11-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816869,jobkorea:816869,2026-09-07 22:33:25
,부산일자리정보망,,랩24바이쿠무다,랩24바이쿠무다,에드워드 LAB24 프렌치 파인다이닝 레스토랑 주방 직원 채용,주방,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816868,jobkorea:816868,2026-09-07 22:33:25
,부산일자리정보망,,랩24바이쿠무다,랩24바이쿠무다,에드워드권 랩24 프렌치 파인다이닝 레스토랑 홀매니저/캡틴/직원 채용,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816867,jobkorea:816867,2026-09-07 22:33:25
,부산일자리정보망,,랩24바이쿠무다,랩24바이쿠무다,에드워드권 랩24 프렌치 파인다이닝 레스토랑 홀 소믈리에 채용,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816866,jobkorea:816866,2026-09-07 22:33:25
,부산일자리정보망,,스콜라몬테소리 부산동구점 쁘리몬테수학,스콜라몬테소리부산동구점쁘리몬테수학,스콜라몬테소리 부산동구점 센터교사 모집,교사,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816865,jobkorea:816865,2026-09-07 22:33:25
,부산일자리정보망,,㈜나인스쿨,나인스쿨,총무부서 직원 모집 합니다,총무,경력,1,,,,,,,,2026-09-13,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816864,jobkorea:816864,2026-09-07 22:33:25
,부산일자리정보망,,㈜나인스쿨,나인스쿨,"방문 예약 전화 상담 직원 모집 (정규, 파트)",,경력,1,,,,,,,,2026-09-13,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816863,jobkorea:816863,2026-09-07 22:33:25
,부산일자리정보망,,㈜크로스이엔지,크로스이엔지,UPS 설치 및 점검  유지 보수,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816862,jobkorea:816862,2026-09-07 22:33:25
,부산일자리정보망,,올인원종합환경,올인원종합환경,콘크리트폴리싱&치핑&테라조 신입/경력 프리랜서 모집,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816861,jobkorea:816861,2026-09-07 22:33:25
,부산일자리정보망,,스콜라몬테소리 부산동구점 쁘리몬테수학,스콜라몬테소리부산동구점쁘리몬테수학,스콜라몬테소리 부산동구점 영어교사 모집,교사,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816860,jobkorea:816860,2026-09-07 22:33:25
,부산일자리정보망,,㈜에스엠인터내셔날,에스엠인터내셔날,부산본사에서 함께할 영업배송사원을 모집합니다.,"영업, 배송",기타,,,,,,,,,2026-09-13,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816859,jobkorea:816859,2026-09-07 22:33:26
,부산일자리정보망,,빅토리오토모티브그룹㈜,빅토리오토모티브그룹,[스텔란티스코리아 공식딜러사]푸조 부산서비스 어드바이저 채용,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816858,jobkorea:816858,2026-09-07 22:33:26
,부산일자리정보망,,피아스페이스㈜,피아스페이스,[피아스페이스] 사업기획 담당자(부산) 채용,기획,경력,3,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816857,jobkorea:816857,2026-09-07 22:33:26
,부산일자리정보망,,기투과외,기투과외,부동산 경력자를 모집합니다.,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816856,jobkorea:816856,2026-09-07 22:33:26
,부산일자리정보망,,비스타종합건설,비스타종합건설,부산 인테리어 현장직 채용(경력직),현장,경력,5,,,,,,,,2026-09-30,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816855,jobkorea:816855,2026-09-07 22:33:26
,부산일자리정보망,,㈜케어링 주간보호센터 부산 동래점,케어링주간보호센터부산동래점,[케어링] 주간보호 사회복지사 채용 (부산 동래점),사회복지,경력,1,,,,,,,,2026-09-30,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816854,jobkorea:816854,2026-09-07 22:33:26
,부산일자리정보망,,㈜케이제이씨에듀,케이제이씨에듀,[프라이머리 아카데미] 중등부 파트 영어 강사 모집(주16T),강사,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816853,jobkorea:816853,2026-09-07 22:33:26
,부산일자리정보망,,㈜프로그레스미디어,프로그레스미디어,[부산] 프로그레스미디어 퍼포먼스마케터(AE) 채용,AE,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816852,jobkorea:816852,2026-09-07 22:33:26
,부산일자리정보망,,㈜이흥용과자점(신세계점),이흥용과자점,[행복한느림보 이흥용과자점]  부산 수영점  제빵사 및 파티쉐 모집,제빵,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816851,jobkorea:816851,2026-09-07 22:33:26
,부산일자리정보망,,㈜올포랜드,올포랜드,해양예보방송 해양캐스터 모집(신입&경력),방송,경력,1,,,,,,,,2026-09-10,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816850,jobkorea:816850,2026-09-07 22:33:26
,부산일자리정보망,,가인물류㈜,가인물류,"수영 현대,협성 아파트 쿠팡 주간 택배기사님 모십니다.","택배, 기사",기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816849,jobkorea:816849,2026-09-07 22:33:26
,부산일자리정보망,,사비노델베네코리아㈜,사비노델베네코리아,[이태리계 포워딩] 영업 경력지원 (부산 사무소  채용),"영업, 사무, 부산 사무소 채용",경력,2,,,,,,,,2026-11-06,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816848,jobkorea:816848,2026-09-07 22:33:26
,부산일자리정보망,,맥블랙코리아,맥블랙코리아,남성의류 쇼핑몰 맥블랙코리아 물류&CS직원 채용,물류,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816847,jobkorea:816847,2026-09-07 22:33:27
,부산일자리정보망,,부산황금알공인중개사사무소,부산황금알공인중개사사무소,부산 해운대황금알부동산에서 소속공인중개사 모집합니다.,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816846,jobkorea:816846,2026-09-07 22:33:27
,부산일자리정보망,,㈜이레마케팅 부산관리본부,이레마케팅부산관리본부,부산 운영관리· 마케팅 사무 지원 담당자 채용,"운영관리, 사무",기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816845,jobkorea:816845,2026-09-07 22:33:27
,부산일자리정보망,,디나피노,디나피노,[까르피] 온라인 쇼핑몰 신입/경력 물류팀 정규직 모집,물류,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816844,jobkorea:816844,2026-09-07 22:33:27
,부산일자리정보망,,디나피노,디나피노,[까르피] 온라인 쇼핑몰 경력 MD / 상품기획 정규직 모집,"MD, 기획",경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816843,jobkorea:816843,2026-09-07 22:33:27
,부산일자리정보망,,주식회사 프티스,프티스,[프티스] 단순상담 병원 TM 모집 (DB제공/기본급250/추가인센/부산),,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816842,jobkorea:816842,2026-09-07 22:33:27
,부산일자리정보망,,율재,율재,[법무법인 율재] 부산지사 송무 직원 채용(경력),법무,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816841,jobkorea:816841,2026-09-07 22:33:27
,부산일자리정보망,,㈜아리랑플라워,아리랑플라워,주4일근무 정규직 직원채용,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816840,jobkorea:816840,2026-09-07 22:33:27
,부산일자리정보망,,르노코리아 하단대리점,르노코리아하단대리점,[르노코리아] 하단대리점 신차 판매 영업 인재 모집(신입가능),"판매, 영업",기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816839,jobkorea:816839,2026-09-07 22:33:27
,부산일자리정보망,,㈜바다플랫폼,바다플랫폼,[경력무관] 스타트업 마케팅 및 사업운영 담당자,마케팅,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816838,jobkorea:816838,2026-09-07 22:33:27
,부산일자리정보망,,㈜호텔아비아,호텔아비아,[마티에 부산하버시티 호텔] 객실영업팀 하우스맨 모집공고,"호텔, 객실, 영업, 마티에 부산하버시티 호텔",경력,1,,,,,,,,2026-09-19,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816837,jobkorea:816837,2026-09-07 22:33:27
,부산일자리정보망,,롱샴코리아㈜,롱샴코리아,롱샴코리아 롯데 부산 면세점 판매직 채용,판매,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816836,jobkorea:816836,2026-09-07 22:33:27
,부산일자리정보망,,넥스큐브코퍼레이션㈜,넥스큐브코퍼레이션,[우수교육기업] 에듀플렉스 부산온천점 학습매니저 채용,"교육, 우수교육기업",경력,1,,,,,,,,2026-09-21,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816835,jobkorea:816835,2026-09-07 22:33:29
,부산일자리정보망,,수현㈜,수현,노블레스 수현 부산지사 상담 커플매니저(신입/경력) / 프리랜서 모집,,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816834,jobkorea:816834,2026-09-07 22:33:29
,부산일자리정보망,,부산연산지역주택조합,부산연산지역주택조합,사무직원 채용/경력자/상세내용 확인 필수,사무,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816833,jobkorea:816833,2026-09-07 22:33:29
,부산일자리정보망,,㈜아크,아크,(주)아크 거래처 관리 모집 - 부산,,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816832,jobkorea:816832,2026-09-07 22:33:29
,부산일자리정보망,,우즈베이커리,우즈베이커리,부산 기장]  브런치파트  신입/경력직 모집합니다.,,경력,1,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816831,jobkorea:816831,2026-09-07 22:33:29
,부산일자리정보망,,청목장애인활동지원센터,청목장애인활동지원센터,사회복지사 채용,사회복지,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816830,jobkorea:816830,2026-09-07 22:33:29
,부산일자리정보망,,여향,여향,[부산전포] `여향`에서 소중한 직원분을 모집합니다.,,경력,3,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816829,jobkorea:816829,2026-09-07 22:33:29
,부산일자리정보망,,㈜은하수산,은하수산,은하수산 생산직 채용,생산,기타,,,,,,,,,2026-10-07,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816828,jobkorea:816828,2026-09-07 22:33:29
,부산일자리정보망,,복정제형㈜,복정제형,코지마 안마의자  부산지사 A/S엔지니어 사원을 모집합니다.,엔지니어,기타,,,,,,,,,2026-09-13,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816827,jobkorea:816827,2026-09-07 22:33:29
,부산일자리정보망,,㈜주식회사 레보록스,레보록스,2026년도 하반기 남부지사 영업 담당자 채용,영업,경력,5,,,,,,,,2026-09-30,기한,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=816826,jobkorea:816826,2026-09-07 22:33:29
