통합키,정답코드,정답명,예측코드,근거,확실도,매칭토큰,정답13분류,예측13분류,추정코드,추정근거
KR2026090700030577,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700018096,813202,범용 선반 조작원,813202,별칭일치,강,범용선반조작원,10,10,,
KR2026090700142309,155501,대기 환경 기술자 및 연구원,1,상위합의,약,환경,02,02,,후보 표결 — 지지 후보들의 13대분류가 02 로 모였다
KR2026090700017596,615210,음식료품 판매원,5,상위합의,약,조리,07,06,,사전(학습) 「조리」 — 정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700037884,813204,범용 밀링기조작원,8,상위합의,약,밀링금속공작기계조작원,10,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700142460,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700022387,813202,범용 선반 조작원,813202,학습사전,중,유압자동선반조작원,10,10,,
KR2026090700017337,813213,기타 금속공작기계 조작원 및 보조원,813213,별칭일치,강,기타금속공작기계조작원및보조원,10,10,,
KR2026090700017303,813212,레이저 절단원,813212,별칭일치,강,레이저절단원,10,10,,
KR2026090700022029,883100,가구 제조 및 수리원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700038035,821200,금속가공 기계 조작원,8,상위합의,약,가공,10,10,,사전(학습) 「생산현장직구인(금속가공업)」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030557,836001,전기 부품·제품 조립·검사원,8,상위합의,약,조립,10,10,,사전(학습) 「조립」 — 정답 110건 중 96건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700018083,027100,회계 사무원,0,상위합의,약,사무,01,01,,사전(학습) 「사무」 — 정답 165건 중 136건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700022634,852101,고무 사출성형기 조작원,852101,학습사전,중,고무사출기조작원,12,12,,
KR2026090700020544,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700142734,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700029523,013903,빌딩 관리소장,8,상위합의,약,기계,01,10,,사전(수동) 「팀장」 — 직급이라 직업을 특정할 수 없다
KR2026090700029525,823300,주조원,,미분류,,,10,,,
KR2026090700021149,027102,회계 사무원(회계·세무 사무소),027100,별칭일치,강,회계사무원,01,01,,
KR2026090700142526,151100,기계공학 기술자 및 연구원,1,상위합의,약,연구,02,02,,사전(학습) 「연구」 — 정답 24건 중 12건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700018109,701100,강구조물 가공원 및 건립원(철골공),,미분류,,,09,,,
KR2026090700022435,232100,보육교사,232100,별칭일치,강,보육교사,03,03,,
KR2026090700021179,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700142289,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700022411,232200,보육 관련 시설 돌봄 종사원,232200,별칭일치,강,보육관련시설돌봄종사원,03,03,,
KR2026090700016203,531200,한식 조리사,5,상위합의,약,조리사,06,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700020235,415100,제품 디자이너,415100,별칭일치,강,제품디자이너,05,05,,
KR2026090700030438,822201,판금기 조작원,822201,별칭일치,강,판금기조작원,10,10,,
KR2026090700142473,159103,기계·금속 제도사(캐드원),1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700142243,890000,기타 제조 관련 단순 종사원,862301,학습사전,중,미싱,10,12,,
KR2026090700021617,304000,간호사,304000,별칭일치,강,간호사,04,04,,
KR2026090700020526,824100,용접원,824100,별칭일치,강,용접원,10,10,,
KR2026090700142325,304002,일반 간호사,304002,학습사전,중,병동간호사,04,04,,
KR2026090700021803,817200,자동차 부품 조립원(검사원 포함),8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700142264,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700020829,232100,보육교사,232100,별칭일치,강,보육교사,03,03,,
KR2026090700020572,836000,전기‧전자 부품 및 제품 조립원,8,상위합의,약,조립,10,10,,사전(학습) 「조립」 — 정답 110건 중 96건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700020765,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700025455,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",542002,별칭일치,강,빌딩경비원,06,06,,
KR2026090700026130,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700030246,159103,기계·금속 제도사(캐드원),6,상위합의,약,영업,02,02,,사전(수동) 「cad」 — 제도·설계 — 공학기술직
KR2026090700016213,823301,"주조원(목형원, 원형원, 주형원)",8,상위합의,약,생산직,10,10,,사전(학습) 「모형원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700029396,307903,기타 보건·의료 서비스 종사원,,미분류,,,04,,,
KR2026090700037231,305000,영양사,305000,별칭일치,강,영양사,04,04,,
KR2026090700015566,890000,기타 제조 관련 단순 종사원,8,상위합의,약,포장,10,10,,사전(학습) 「포장」 — 정답 142건 중 114건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700028559,531900,기타 조리사,5,상위합의,약,급식,06,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700037522,232100,보육교사,232100,학습사전,중,어린이집센터장,03,03,,
KR2026090700030376,153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",1,상위합의,약,개발,02,10,,사전(학습) 「제작」 — 정답 104건 중 65건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700021381,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037166,861100,"섬유 제조 기계 조작원(방적,방사,연사,합사,권사기 등)",8,상위합의,약,제조,12,10,,사전(학습) 「제조」 — 정답 197건 중 122건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030299,215102,교재·교구 및 e-learning 교육 전문가,0,상위합의,약,교육,03,01,,사전(학습) 「운영관리」 — 정답 5건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700142238,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024556,813200,금속 공작기계 조작원,8,상위합의,약,cnc선반,10,10,,사전(학습) 「cnc선반」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700019739,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700022439,890000,기타 제조 관련 단순 종사원,8,상위합의,약,제조,10,10,,사전(학습) 「제조」 — 정답 197건 중 122건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700025452,612100,기술 영업원,1,상위합의,약,시스템,07,07,,후보 표결 — 지지 후보들의 13대분류가 07 로 모였다
KR2026090700018024,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700015562,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700016909,232903,장애인 생활지도원(장애인활동보조원 포함),232903,학습사전,중,장애인활동지원사,03,03,,
KR2026090700028545,836000,전기‧전자 부품 및 제품 조립원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700028547,140303,토목시공 기술자(토목견적 포함),140303,별칭일치,강,토목시공기술자,02,02,,
KR2026090700037857,531800,단체급식 조리사,5,상위합의,약,주방,06,06,532300,사전(수동) 「주방」 — 주방 보조원
KR2026090700038067,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700030372,813204,범용 밀링기조작원,8,상위합의,약,가공,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700022391,016300,제품 생산 관련 관리자,1,상위합의,약,설계,01,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700030454,834002,빌딩 전기관리원,834002,학습사전,중,빌딩전기기계관리원,10,10,,
KR2026090700026523,016902,농림어업 및 기타 생산 관리자,6,상위합의,약,판매,01,10,,사전(학습) 「포장」 — 정답 142건 중 114건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700037859,852402,플라스틱제품 조립원 및 검사원,8,상위합의,약,플라스틱제품조립원,12,12,852402,사전(학습) 「플라스틱제품조립원」 — 정답 3건 중 3건이 852402 플라스틱제품 조립원 및 검사원
KR2026090700031360,852201,플라스틱 사출성형기 조작원,8,상위합의,약,사출,12,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700024893,027100,회계 사무원,027100,별칭일치,강,회계사무원,01,01,,
KR2026090700015984,564300,주차 관리원 및 안내원,564300,학습사전,중,주차관리원,06,06,,
KR2026090700024884,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnc선반기능원,10,10,,
KR2026090700037634,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700037264,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700142426,823301,"주조원(목형원, 원형원, 주형원)",,미분류,,,10,10,,사전(학습) 「모형원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700020550,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700026543,159104,전기·전자 장비 제도사(캐드원),1,상위합의,약,전기전자제도사,02,02,159104,사전(학습) 「전기전자제도사」 — 정답 3건 중 3건이 159104 전기·전자 장비 제도사(캐드원)
KR2026090700029279,307500,간호조무사,3,상위합의,약,치과,04,04,307200,사전(수동) 「치과」 — 치과 진료 보조. 치과위생사 계열
KR2026090700038331,140206,건축안전·환경·품질·에너지관리 기술자,140206,학습사전,중,건설현장안전관리자,02,02,,
KR2026090700028446,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700142472,015900,기타 판매 및 고객 서비스 관리자,6,상위합의,약,영업사원,01,07,,사전(학습) 「영업사원」 — 정답 8건 중 6건이 07 영업·판매직 — 세세분류는 흩어진다
KR2026090700022009,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700024325,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700016005,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700038049,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700016633,232903,장애인 생활지도원(장애인활동보조원 포함),232903,별칭일치,강,장애인생활지도원,03,03,,
KR2026090700038085,834002,빌딩 전기관리원,834002,학습사전,중,빌딩전기기계관리원,10,10,,
KR2026090700016613,852402,플라스틱제품 조립원 및 검사원,8,상위합의,약,플라스틱제품조립원,12,12,852402,사전(학습) 「플라스틱제품조립원」 — 정답 3건 중 3건이 852402 플라스틱제품 조립원 및 검사원
KR2026090700027460,153105,전기공사 기술자(전기견적 포함),153105,별칭일치,강,전기공사기술자(전기견적포함),02,02,,
KR2026090700018921,232900,기타 사회복지 전문가 및 관련 종사원,,미분류,,,03,,,
KR2026090700030082,531800,단체급식 조리사,5,상위합의,약,조리,06,06,,사전(학습) 「조리」 — 정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700015539,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700021780,821200,금속가공 기계 조작원,8,상위합의,약,가공,10,10,,사전(학습) 「생산현장직구인(금속가공업)」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030659,834002,빌딩 전기관리원,834002,학습사전,중,빌딩전기기계관리원,10,10,,
KR2026090700017611,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
