사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
미디어잡,제이숲,콘텐츠 촬영/편집 (경력),"촬영보조/카메라보조, 동영상 촬영/편집, 콘텐츠업로드, 모션그래픽, CG",경력,"정규직, 계약직, 기타",경기 의정부시 태평로214번길 36,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325636,,2026-09-07 20:29:52
미디어잡,㈜와드,콘텐츠 마케터,"마케팅/프로모션, 디지털마케터, SNS마케터, 브랜드영상PD, 커뮤니티매니저",경력,정규직,경기 성남시 분당구 대왕판교로 660,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325638,,2026-09-07 20:29:57
미디어잡,(주)카카오스타일,[인턴] SNS 콘텐츠 마케터,"콘텐츠 크리에이터, 마케팅/프로모션, 디지털마케터, SNS마케터, 커뮤니티매니저",경력무관,인턴,경기 성남시 분당구 판교역로 235,,상시채용,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325642,,2026-09-07 20:30:02
미디어잡,누비랩,[인턴] AI Contents Manager (콘텐츠 매니저),"디지털마케터, SNS마케터, 커뮤니티매니저, 콘텐츠기획/운영, 동영상 콘텐츠제작",경력무관,"인턴, 기타",,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325643,,2026-09-07 20:30:06
미디어잡,매일경제TV,[CG/그래픽/신입O] 자막 제작 & 생방송 송출 담당 채용,"방송송출, 자막/문자발생, 영상그래픽, CG, 그래픽디자이너/CG",경력무관,기타,서울 중구 퇴계로 190,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325650,,2026-09-07 20:30:12
미디어잡,연합뉴스,[운전직/광화문/월284만원] 취재차량/차량운전/차량관리/취재보조,"취재기자, 방송기자, 매니저/로드매니저, 기타",경력무관,기타,서울 종로구 율곡로2길 25,,2026-09-16,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325659,,2026-09-07 20:30:17
미디어잡,연합뉴스,[유튜브편집/월252만] 영상편집/제작/인포그래픽/일러스트/포토샵,"방송제작, 영상편집, 동영상 촬영/편집, 모션그래픽, 영상그래픽",경력무관,기타,서울 종로구 율곡로2길 25,,2026-09-14,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325661,,2026-09-07 20:30:22
미디어잡,(재)한국기원,[바둑TV AD/해외출장가능/왕십리] 녹화/편집/중계/조연출/프리미어/애프터이펙트,"AD/조연출, FD/연출보조, 방송제작, 방송송출, 영상편집",경력무관,기타,서울 성동구 마장로 210,,2026-09-10,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325662,,2026-09-07 20:30:27
미디어잡,주식회사 누리미디어,[마케팅] 콘텐츠 마케터 (체험형 인턴),"디지털마케터, SNS마케터, 커뮤니티매니저, 콘텐츠기획/운영, 동영상 콘텐츠제작",경력무관,인턴,,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325678,,2026-09-07 20:30:32
미디어잡,(주)엔씨 [(구) 엔씨소프트],[단기계약직][리니지2M] FX 아티스트 모집,"모션그래픽, CG, 2D/3D, 게임개발, 게임디자이너(2D/3D)",경력,계약직,경기 성남시 분당구 대왕판교로644번길 12,,2026-09-22,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325682,,2026-09-07 20:30:37
미디어잡,MBC,[상암/4.5일제/방송사무] TV프로그램/메타데이터/자료정리/OA/모니터링/라벨링,"방송기술, 방송송출, 영상편집, 인제스트/인코딩, 아카이브",경력무관,기타,서울 마포구 성암로 255,,2026-09-08,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325683,,2026-09-07 20:30:42
