사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
자소설닷컴,한동대학교,글로컬대학사업단 연구원 및 계약직원 채용,"학사지도관 (교육혁신분야), HI 교육 및 교수대학 운영 (교육혁신분야), HOPE 시스템 개발 및 운영 (글로벌혁신분야), 지역캠퍼스, 소셜벤처, 지역혁신학기 운영 (지역혁신분야), 맞춤형 교원평가 지원 업무 (교",계약직,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103449,,2026-09-07 18:29:59
자소설닷컴,인천교통공사(ICTR),2026년 제1회 공무직 (버스운전원 등) 채용,"(공무직) 환경관리 미화(B)형, (공무직) 환경관리 경비, (공무직) 버스운영 운전.노선, (공무직) 버스운영 CNG충전, (공무직) 교통복지 상담, (공무직_장애제한) 환경관리 미화(B)형, (공무직_장애제한) ","계약직, 신입",수시채용,,,2026-04-24,https://jasoseol.com/recruit/103451,,2026-09-07 18:29:59
자소설닷컴,하나증권,랩운용실 경력직 채용,"랩운용실-채권랩, 랩운용실-국내주식랩, 랩운용실-해외주식랩",계약직,수시채용,,,2026-04-15,https://jasoseol.com/recruit/103452,,2026-09-07 18:30:00
자소설닷컴,엠비씨씨앤아이,콘텐츠기획센터 AIXR콘텐츠랩 사무국 인턴 PD 프로젝트 계약직 채용,기획PD,계약직,수시채용,,,2026-04-09,https://jasoseol.com/recruit/103454,,2026-09-07 18:30:01
자소설닷컴,HDC현대EP,2026년 상반기 신입/경력 채용,"(HDC현대EP) PO연구개발, (HDC현대EP) PS연구개발, (HDC현대EP)PO사업기획, (HDC현대EP) 인프라지원, (HDC현대EP) 재경, (HDC폴리올) 기계설비, (HDC폴리올) 생산관리","경력, 신입, 코드5",수시채용,,,2026-04-17,https://jasoseol.com/recruit/103455,,2026-09-07 18:30:01
자소설닷컴,SK쉴더스,지능형 애플리케이션 개발자 양성과정 with. 차세대 보안전문가 6기,지능형 애플리케이션 개발자 양성과정,교육,수시채용,,,2026-05-10,https://jasoseol.com/recruit/103453,,2026-09-07 18:30:02
자소설닷컴,제주은행,2026년 채용연계형 인턴십 및 경력직 인재 채용,"ICT , AI , ICT관리자급, 감정평가사, 변호사","경력, 인턴",수시채용,,,2026-04-15,https://jasoseol.com/recruit/103457,,2026-09-07 18:30:02
자소설닷컴,한국과학창의재단(KOSAC),2026년 제1차 직원(위촉직) 채용 공고,"위촉직/ 기간제_[1분야] 과학문화 및 과학영재 성과확산 사업, 위촉직/ 기간제_[2분야] 재단 사업 전 분야, 위촉직/ 기간제_[3분야] 학교교육 지원 사업, 위촉직/ 기간제_정보시스템 운영 지원",계약직,수시채용,,,2026-04-08,https://jasoseol.com/recruit/103459,,2026-09-07 18:30:03
자소설닷컴,한국문학번역원,"2026년도 제3차 NCS기반 공개채용(정규직 3명, 기간제 근로자 5명) 공고문","일반행정A, 정보기술, 문화예술 행정A, 일반행정B, 문화예술 행정B, 문화예술 행정C, 문화예술 행정D, 문화예술 행정E(휴직대체)","계약직, 신입",수시채용,,,2026-04-20,https://jasoseol.com/recruit/103458,,2026-09-07 18:30:03
자소설닷컴,한미약품,2026 상반기 공개채용 - 한미사이언스/한미약품,"[한미약품] 제약영업, [한미약품] RMP&OS, [한미약품] Medical Writer, [한미약품] 개발전략, [한미약품] Drug Safety & PV, [한미약품] 사업개발 (신제품 도입/운영), [한미약품 ","경력, 신입, 코드5",수시채용,,,2026-04-26,https://jasoseol.com/recruit/103456,,2026-09-07 18:30:03
