공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=12,,,검색 이사회 동반성장 동반성장 추진체계 동반성장 정보공유 찾아오시는 길,,,,,,,,,,,,2026-09-08 13:48:49
https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=24,,,검색 이사회 동반성장 동반성장 추진체계 동반성장 정보공유 찾아오시는 길,,,,,,,,,,,,2026-09-08 13:48:49
