공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891282,성형/피부 상담코디네이터. 해외환자 상담전문 우대,,• 해외환자 상담&매니지먼트 업무(경력 우대) 영어/일어/중국어 등 • 성형외과/피부과 상담 주업무(경력 우대) • 인&아웃콜 응대 경험이 있다면 우대. • 고객과의 라포형성을 통한 니즈파악 능력이 있다면 우대. • 환자 상담 및 예약 업무 담당 • 의료진 일정 조정 및 관리 담당 • 환자 정보 관리 및 업무 지원 • 수술 예약 및 병원 내 업무 지원 • 의료 서류 작성 및 관리 담당 📋,"• 경력 1년 이상 • 학력무관, 졸업 예정자 지원가능 📋","• 전공: 의/약학, 임상병리학 • 보유역량: 해당직무 근무경험, 문서작성 우수자, 3년 이상 관련 분야 경력자 • 자격증: 방사선사, 병원코디네이터 🏠",,정규직,,면접 후 결정,,,부산 부산진구 부전로66번길 40 뉴라인성형외과,1,,2026-09-08 14:10:05
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54854270,,,"• 식음부서 조리 파트 • 조식 : 호텔 투숙객 대상 07시~10시 조식 준비 (한식 / 양식 단품 메뉴) 까페 : 상시운영. 베이커리 및 커피, 제조음료 판매 • 식재료 및 비품, 재고 관리 • 직원 식사 준비 • 기타 매장 운영 관리 및 고객 응대 등 • 식음팀(F&B) 부서 소속, 사원/대리/과장 직급으로 함께할 예정이에요. 📋","• 경력 무관 (신입 지원 가능) • 대학졸업(2,3년)이상, 졸업 예정자 지원가능 (부서별 적용) • 일본어 및 외국어 가능자 • 3교대 스케줄 근무 가능자 📋",• 해당직무 인턴 및 근무 경험 • 산하 WINGS 사용 가능자 식음(F&B) (0명) 📋,,정규직,,면접 후 결정,,,부산 중구 백산길 15,,,2026-09-08 14:10:05
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891274,"주방보조, 제품포장",,•호두과자 생산보조 및 매장 청결관리 제품 포장 📋,• 경력 무관 (신입 지원 가능) 🏠,,,아르바이트,,"시급 10,320원",,,부산 동구 조방로 14 동일타워 126호 코코호도,1,,2026-09-08 14:10:05
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54809528,,,,,"기업부설 연구소 연구원 0명 ㆍ유압공구 신규 및 업데이트 설계, ㆍ신규장비설계 / 수습기간동안 연구소의 전반적인 업무 파악 및 적응 후 직무 배정. ㆍ경력자 및 4년제 이상 학위소지자(석사우대), ㆍS/W : 기본적으로 AUTOCAD 2D, 3D 중급이상 ㆍ추가적으로 3D S/W 사용가능자 (solidworks, inventer등)",,,,,,,,,,2026-09-08 14:10:06
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891257,리치스태커 기사,,리치스태커 장비기사님 모집합니다 • 📋,• 경력 5년 이상 🏠,,,정규직,,면접 후 결정,,,부산 동구 충장대로 272,1,,2026-09-08 14:10:06
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891242,검안사,,"• 검안실에서 하는 각종검사 • MR, 랩티 • 검안부 부서 소속으로 함께할 예정이에요. 📋","• 경력 무관 (신입 지원 가능) • 대학졸업(2,3년)이상 • 검안사(안경사) 자격증 필수! • 📋",• 안경학과 • 인근거주자 • 해당직무 근무경험 • 안경사 🏠,,정규직,,면접 후 결정,,,"부산 서구 구덕로 109, 5층",1,,2026-09-08 14:10:07
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891217,빌딩시설관리,,• 시설유지관리 • 시설 점검 및 유지보수 • 안전 관리 및 점검 업무 • 시설 운영 및 관리 계획 • 고객 서비스 및 지원 업무 3조 2교대로 운영중이며 아침조는 04~13시 저녁조는 13시~22시로 운영중입니다. 소방안전관리자 1급 지원시 자격 수당 추가 지급합니다. • 사원/대리/주임 직급으로 함께할 예정이에요. 📋,• 경력 무관 (신입 지원 가능) • 학력무관 📋,"• 보유역량: 해당직무 근무경험, 문서작성 우수자 • 자격증: 승강기기능사, 1급 소방안전관리자 🏠",,정규직,,월급 280만원,,,부산 기장군 일광읍 해빛4로 35,0,,2026-09-08 14:10:07
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54588095,"경리회계,기술영업",,1. 엑셀 계산식으로 견적작성(엑셀작업 필수로 잘해야 함) 2. 소요자재 견적ㆍ검토ㆍ보고 3. 국산ㆍ외산자재 사양서 작성작업 4. 입고자재 검사(사양ㆍ수량) 및 보고 5. 납품전 성적서ㆍ납품서류 작성ㆍ보고 6. 외국회사와 물품견적ㆍ가격조정ㆍ구매발주업무 📋,• 경력 무관 (신입 지원 가능) 🏠,,,계약직,,면접 후 결정,,,부산 강서구 과학산단1로 108,0,,2026-09-08 14:10:08
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54825979,근무부서,,"- 왕복동 압축기(Reciprocating Compressor) 부품의 분해, 세척, 조립 및 검사 업무 수행 - 정비 절차서 및 작업 표준에 따른 수리 업무 수행 - 마이크로미터, 버니어캘리퍼스 등 측정장비를 활용한 부품 상태 확인 - 작업 결과 기록 및 품질 기준 준수 - 공구 및 작업장 관리, 안전수칙 준수 - 물품 입출고 및 재고 정리 지원","직급 급여 모집인원 Mechanic Service Center / Service Division - 학력 : 고졸 이상 (기계전공 우대) - 경력 : 무관 (기계관련 경험자 우대) - 고용형태 : 정규직 (수습 3개월) 책임 3,000~4,000 만원 (경력에 따라 변동되며 성과급, 기타수당 별도) 1명","- 기계, 회전체 장비, 설비 정비 경험자 - 공업계고등학교 또는 기계관련 전공자 - 기계가공 장비 사용 경험자 - 측정기기 사용 경험자 이런 분을 찾습니다. - 기계와 장비에 관심이 있는 분 - 꼼꼼하고 책임감 있게 업무를 수행할 수 있는 분 - 동료와 협업하며 함께 성장하고 싶은 분 - 안전과 품질을 중요하게 생각하는 분",,,,,,,,,,2026-09-08 14:10:09
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54759290,,,•쥬얼리 •귀금속 주얼리 판매 📋,• 경력 (연수 무관) • 학력무관 🏠,,,정규직,,면접 후 결정,,,부산 부산진구 범일로 134 중앙빌딩,,,2026-09-08 14:10:09
