대분류코드,대분류명,중분류코드,소분류코드,직종코드,직종명,부산공고수(자동분류분)
0,경영·사무·금융·보험,02,026,026504,대학 행정조교,1
0,경영·사무·금융·보험,02,026,026505,협회·회원단체 사무원,
0,경영·사무·금융·보험,02,026,026506,기숙사사감 및 독서실·고시원 총무,1
0,경영·사무·금융·보험,02,026,026600,감사 사무원,
0,경영·사무·금융·보험,02,027,027100,회계 사무원,20
0,경영·사무·금융·보험,02,027,027101,재무 사무원,1
0,경영·사무·금융·보험,02,027,027102,회계 사무원(회계·세무 사무소),47
0,경영·사무·금융·보험,02,027,027103,회계 사무원(일반 사업체),5
0,경영·사무·금융·보험,02,027,027200,경리 사무원,80
0,경영·사무·금융·보험,02,027,027201,경리 사무원(무역),2
0,경영·사무·금융·보험,02,027,027202,경리 사무원(운수),1
0,경영·사무·금융·보험,02,027,027203,경리 사무원(건설),5
0,경영·사무·금융·보험,02,027,027204,경리 사무원(제조),8
0,경영·사무·금융·보험,02,027,027205,경리 사무원(회계·세무 사무소),8
0,경영·사무·금융·보험,02,027,027206,경리 사무원(일반사업체),5
0,경영·사무·금융·보험,02,027,027207,경리 사무원(아파트·빌딩),1
0,경영·사무·금융·보험,02,027,027208,단순 경리 사무원,4
0,경영·사무·금융·보험,02,028,028100,무역 사무원,57
0,경영·사무·금융·보험,02,028,028101,무역 사무원(영어),
0,경영·사무·금융·보험,02,028,028102,무역 사무원(중국어),
0,경영·사무·금융·보험,02,028,028103,무역 사무원(일본어),
0,경영·사무·금융·보험,02,028,028104,무역 사무원(기타 언어),
0,경영·사무·금융·보험,02,028,028105,관세 사무원,3
0,경영·사무·금융·보험,02,028,028106,FTA 관리 사무원,
0,경영·사무·금융·보험,02,028,028200,도로 및 철도운송 사무원,
0,경영·사무·금융·보험,02,028,028201,도로 운송 사무원(배차사무 포함),3
0,경영·사무·금융·보험,02,028,028202,철도·지하철 운송 사무원,
0,경영·사무·금융·보험,02,028,028300,수상 및 항공운송 사무원,2
0,경영·사무·금융·보험,02,028,028301,항공 운송 사무원,1
0,경영·사무·금융·보험,02,028,028302,수상 운송 사무원(해상 운송),28
0,경영·사무·금융·보험,02,028,028400,자재관리 사무원,10
0,경영·사무·금융·보험,02,028,028401,자재·구매 사무원(건설),1
0,경영·사무·금융·보험,02,028,028402,자재·구매 사무원(기계·자동차·금속),9
0,경영·사무·금융·보험,02,028,028403,자재·구매 사무원(화학·섬유·의류),
0,경영·사무·금융·보험,02,028,028404,자재·구매 사무원(전기·전자·컴퓨터),
0,경영·사무·금융·보험,02,028,028405,자재·구매 사무원(음식료품),4
0,경영·사무·금융·보험,02,028,028406,자재·구매 사무원(일반 사업체),6
0,경영·사무·금융·보험,02,028,028407,창고 관리원(자재 검수원 포함),21
0,경영·사무·금융·보험,02,028,028408,물류 사무원(물류 관리사),33
0,경영·사무·금융·보험,02,028,028500,생산 및 품질관리 사무원,19
0,경영·사무·금융·보험,02,028,028501,생산관리 사무원(건설),1
0,경영·사무·금융·보험,02,028,028502,생산관리 사무원(기계·자동차·금속),13
0,경영·사무·금융·보험,02,028,028503,생산관리 사무원(화학·섬유·의료),
0,경영·사무·금융·보험,02,028,028504,생산관리 사무원(전기·전자·컴퓨터),4
0,경영·사무·금융·보험,02,028,028505,생산관리 사무원(음식료품),4
0,경영·사무·금융·보험,02,028,028506,생산관리 사무원(그 외 분야),4
0,경영·사무·금융·보험,02,028,028507,품질관리 사무원(건설),3
0,경영·사무·금융·보험,02,028,028508,품질관리 사무원(기계·자동차·금속),19
0,경영·사무·금융·보험,02,028,028509,품질관리 사무원(화학·섬유·의료),2
0,경영·사무·금융·보험,02,028,028510,품질관리 사무원(전기·전자·컴퓨터),1
0,경영·사무·금융·보험,02,028,028511,품질관리 사무원(음식료품),2
0,경영·사무·금융·보험,02,028,028512,품질관리 사무원(그 외 분야),1
0,경영·사무·금융·보험,02,028,028900,기타 운송 및 무역 사무원,7
0,경영·사무·금융·보험,02,029,029100,안내·접수원 및 전화교환원,5
0,경영·사무·금융·보험,02,029,029101,"일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)",4
0,경영·사무·금융·보험,02,029,029102,예약·접수 사무원(A/S·고장·가입·신규발급·이전),
0,경영·사무·금융·보험,02,029,029103,호텔·콘도·숙박시설 프론트 사무원,14
0,경영·사무·금융·보험,02,029,029104,데스크 안내원,21
0,경영·사무·금융·보험,02,029,029105,방송 안내원,
0,경영·사무·금융·보험,02,029,029200,고객 상담 및 모니터 요원,
0,경영·사무·금융·보험,02,029,029201,콜센터 매니저,
0,경영·사무·금융·보험,02,029,029202,콜센터 상담원(콜센터·고객센터·CS센터),171
0,경영·사무·금융·보험,02,029,029203,고객 상담원(학원·학습지·유학·이민),17
0,경영·사무·금융·보험,02,029,029204,고객 상담원(금융·보험·부동산),6
0,경영·사무·금융·보험,02,029,029205,고객 상담원(스포츠·예식·항공·여행·숙박·오락),
0,경영·사무·금융·보험,02,029,029206,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),
0,경영·사무·금융·보험,02,029,029207,고객 상담원(백화점·마트),
0,경영·사무·금융·보험,02,029,029208,고객 상담원(인터넷·통신),
0,경영·사무·금융·보험,02,029,029209,고객 상담원(A/S·고장·제품사용),
0,경영·사무·금융·보험,02,029,029210,병원 코디네이터,57
0,경영·사무·금융·보험,02,029,029211,모니터 요원,
0,경영·사무·금융·보험,02,029,029212,취업 알선원,1
0,경영·사무·금융·보험,02,029,029213,부동산 중개 보조 사무원,9
0,경영·사무·금융·보험,02,029,029300,통계‧데이터 관련 사무원,
0,경영·사무·금융·보험,02,029,029301,통계 사무원,
0,경영·사무·금융·보험,02,029,029302,통계·설문 조사원(슈퍼바이저 포함),11
0,경영·사무·금융·보험,02,029,029400,비서,47
0,경영·사무·금융·보험,02,029,029500,전산 자료 입력원,
0,경영·사무·금융·보험,02,029,029501,전산자료 입력원(DB·단순자료),
0,경영·사무·금융·보험,02,029,029502,전산자료 입력원(약국·판매·대리점),
0,경영·사무·금융·보험,02,029,029503,홈페이지 자료관리원(정보검색 포함),
0,경영·사무·금융·보험,02,029,029504,HTML 코더,
0,경영·사무·금융·보험,02,029,029600,속기사,
0,경영·사무·금융·보험,02,029,029700,자원봉사 관리원,
0,경영·사무·금융·보험,02,029,029900,기타 사무 지원 종사원,1
0,경영·사무·금융·보험,02,029,029901,도서 정리원,
0,경영·사무·금융·보험,02,029,029902,출판·자료 편집 사무원,
0,경영·사무·금융·보험,02,029,029903,사무 보조원(공공기관),2
0,경영·사무·금융·보험,02,029,029904,사무 보조원(일반사업체),10
0,경영·사무·금융·보험,03,031,031100,투자 및 신용 분석가(애널리스트),
0,경영·사무·금융·보험,03,031,031200,자산 운용가(펀드매니저),3
0,경영·사무·금융·보험,03,031,031300,금융 및 보험 상품 개발자,
0,경영·사무·금융·보험,03,031,031400,증권 및 외환 딜러,
