jobsCd,jobsNm,superCd,depth
151109,기타 기계공학 기술자 및 연구원,029,3
151110,기계감리 기술자,029,3
151200,로봇공학 기술자 및 연구원,029,3
151300,기계 및 로봇공학 시험원,029,3
152100,금속·재료공학 기술자 및 연구원,029,3
152200,금속 및 재료공학 시험원,029,3
02A,전기·전자 연구 및 공학기술,02,2
153100,전기공학 기술자 및 연구원,02A,3
153101,전기기기·제품 개발 기술자 및 연구원,02A,3
153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",02A,3
153103,발전설비 기술자,02A,3
153104,송·배전설비 기술자,02A,3
153105,전기공사 기술자(전기견적 포함),02A,3
153106,전기감리 기술자,02A,3
153107,전기안전 기술자,02A,3
153200,반도체공학 기술자 및 연구원,02A,3
153300,전자공학 기술자 및 연구원,02A,3
153301,전자부품 개발 기술자 및 연구원,02A,3
153302,산업용 전자제품 개발 기술자 및 연구원,02A,3
153303,가전제품 개발 기술자 및 연구원,02A,3
153304,전자의료기기 개발 기술자 및 연구원,02A,3
153305,전자제어계측 기술자 및 연구원,02A,3
153400,전기 및 전자공학 시험원,02A,3
02B,화학·에너지·환경 연구 및 공학기술,02,2
154100,화학공학 기술자 및 연구원,02B,3
154101,석유화학 기술자 및 연구원,02B,3
154102,고무·플라스틱 기술자 및 연구원,02B,3
154103,도료제품 기술자 및 연구원,02B,3
154104,화장품·비누제품 기술자 및 연구원,02B,3
154105,"의약품, 농약, 비료 등 기타 석유화학 기술자 및 연구원",02B,3
154200,화학공학 시험원,02B,3
155100,가스·에너지 기술자 및 연구원,02B,3
155101,가스 기술자 및 연구원,02B,3
155102,"에너지공학 기술자 및 연구원(에너지, 탐사, 시추)",02B,3
155200,가스 및 에너지 시험원,02B,3
155300,신재생에너지 기술자 및 연구원,02B,3
155400,신재생에너지 시험원,02B,3
155500,환경공학 기술자 및 연구원,02B,3
155501,대기 환경 기술자 및 연구원,02B,3
155502,수질 환경 기술자 및 연구원,02B,3
155503,폐기물처리 기술자 및 연구원,02B,3
155504,환경영향 평가원,02B,3
155505,"소음진동, 토양 등 기타 환경 기술자 및 연구원",02B,3
155600,환경공학 시험원,02B,3
155700,산업보건 및 산업환경 관리 기술자,02B,3
02C,섬유·식품·소방·방재·산업안전 연구 및 공학기술,02,2
156100,섬유공학 기술자 및 연구원,02C,3
156200,섬유공학 시험원(섬유·염료),02C,3
157100,식품공학 기술자 및 연구원,02C,3
157200,식품공학 시험원,02C,3
158100,소방공학 기술자 및 연구원,02C,3
158101,소방설계 기술자,02C,3
158102,소방시설·설비 시공 기술자,02C,3
158103,소방공사 감리 기술자,02C,3
158200,방재 기술자 및 연구원,02C,3
158300,소방‧방재 및 산업안전 시험원,02C,3
158301,소방공학 시험원,02C,3
158302,비파괴 검사원,02C,3
158400,산업안전 및 산업위험 관리 기술자,02C,3
02D,제도사(3D프린팅포함) 및 기타 인쇄·목재 등 공학기술,02,2
159100,제도사,02D,3
159101,건축 제도사(캐드원),02D,3
159102,토목 제도사(캐드원),02D,3
159103,기계·금속 제도사(캐드원),02D,3
159104,전기·전자 장비 제도사(캐드원),02D,3
159105,3D 프린팅 제도사,02D,3
159106,기타 제도사(캐드원) ,02D,3
159900,"기타 공학 관련 기술자 및 시험원(인쇄, 목재 등)",02D,3
03,교육·법률·사회복지·경찰·소방 및 군인,,1
031,"대학교수, 학교 및 유치원 교사",03,2
211100,대학 교수,031,3
211200,"대학 강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)",031,3
212100,중·고등학교 교사,031,3
212101,국어 교사,031,3
212102,수학 교사,031,3
212103,사회 교사,031,3
212104,과학 교사,031,3
212105,예체능 교사,031,3
212106,실업 교사,031,3
212107,외국어 교사,031,3
212108,진로·교양·기타 교사,031,3
212109,기타 중·고등학교 교사,031,3
212200,초등학교 교사,031,3
212300,특수교육 교사,031,3
212900,기타 교사,031,3
213000,유치원 교사,031,3
232100,보육교사,031,3
032,외국어·문리 강사,03,2
214100,외국어 강사,032,3
214101,영어 강사,032,3
214102,중국어 강사,032,3
214103,일본어 강사,032,3
214104,한국어 강사(다문화 언어지도사 포함),032,3
214105,그 외 외국어 강사,032,3
214200,문리 강사,032,3
214201,국어 강사,032,3
214202,수학 강사,032,3
214203,사회 강사,032,3
214204,과학 강사,032,3
214205,성인고시·입사시험 학원 강사,032,3
214206,독서·논술 강사,032,3
033,정보통신·기술·기능계 강사,03,2
214300,정보통신기술 강사,033,3
214301,"컴퓨터 기초 강사(OA, 워드, 엑셀, 컴퓨터활용능력 등)",033,3
214302,프로그래밍·웹·웹디자인·DB 강사,033,3
214400,기술 및 기능계 강사,033,3
214401,디자인·캐드 강사,033,3
214402,이미용·예식 강사,033,3
214403,요리 강사,033,3
214404,기계·금속·전기·전자 강사,033,3
214405,건설토목강사,033,3
214406,기타 기술·기능 강사,033,3
214500,간호조무 및 요양보호 강사,033,3
214600,자동차 운전 강사,033,3
034,예능·학습지·기타 강사,03,2
214700,예능 강사,034,3
214701,미술 강사,034,3
214702,음악 강사,034,3
214703,무용 강사,034,3
214704,기타 예능 강사(바둑·웅변·연기·꽃꽂이·종이접기 등),034,3
214900,기타 문리·기술 및 예능 강사(교육연수기관 및 기업체내 강사 포함),034,3
420401,태권도·검도·합기도 등 무술사범,034,3
420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,034,3
035,장학관·교육조교(RA포함) 및 교사·보육 보조,03,2
215100,장학관·연구관 및 교육 관련 전문가,035,3
215101,장학관·연구관·입학사정관,035,3
215102,교재·교구 및 e-learning 교육 전문가,035,3
215200,대학 교육 조교(연구 조교 포함),035,3
215300,교사보조 및 관련 종사원,035,3
215900,기타 교사보조 및 아동돌봄 종사원,035,3
036,법률 전문가 및 법률 사무,03,2
221100,판사 및 검사,036,3
221200,변호사,036,3
221300,법무사 및 집행관,036,3
221400,변리사,036,3
221900,기타 법률 전문가(외국 변호사 등),036,3
222000,법률 관련 사무원,036,3
222001,"법률 사무원(법원, 로펌, 법무사무소 등)",036,3
222002,특허·저작권 사무원,036,3
222003,법무 사무원(일반 기업체),036,3
037,사회복지·상담·직업상담·시민단체활동,03,2
029212,취업 알선원,037,3
231100,사회복지사,037,3
231101,사회복지사(사회복지시설),037,3
231102,사회복지사(공공행정),037,3
231103,사회복지프로그램 운영자,037,3
231104,방과후 교사 및 지도사,037,3
231200,상담 전문가,037,3
231201,심리상담 전문가,037,3
231202,가족·학교·아동·청소년·노인·중독 등 상담 전문가,037,3
231300,청소년 지도사,037,3
231400,직업 관련 상담사,037,3
231500,시민사회 활동가,037,3
038,보육교사·생활지도원 및 종교직,03,2
232100,보육교사,038,3
232200,보육 관련 시설 돌봄 종사원,038,3
232900,기타 사회복지 전문가 및 관련 종사원,038,3
232901,노인 생활지도원,038,3
232902,아동 생활지도원,038,3
232903,장애인 생활지도원(장애인활동보조원 포함),038,3
232904,그 외 사회복지 종사원,038,3
233100,성직자,038,3
233900,기타 종교 관련 종사원,038,3
039,경찰·소방·교도·군인,03,2
240100,경찰관 및 수사관,039,3
240200,소방관,039,3
240300,소년원 학교 교사 및 교도관,039,3
250100,영관급 이상 장교,039,3
250200,위관급 장교,039,3
250300,준사관,039,3
250400,부사관,039,3
250900,기타 군인,039,3
04,보건·의료,,1
041,의사·한의사·치과의사,04,2
301100,전문 의사,041,3
301200,일반 의사,041,3
301300,한의사,041,3
301400,치과의사,041,3
042,수의사(수의사보조원 포함)·약사 및 한약사·간호사·영양사,04,2
302000,수의사,042,3
303100,약사,042,3
303200,한약사,042,3
304000,간호사,042,3
304001,전문 간호사,042,3
304002,일반 간호사,042,3
304003,보건교사,042,3
305000,영양사,042,3
307500,간호조무사,042,3
043,의료기사·치료사·재활사,04,2
306100,임상병리사,043,3
306200,방사선사,043,3
306300,치과기공사,043,3
306400,치과위생사,043,3
306500,물리 및 작업치료사,043,3
306501,물리치료사,043,3
306502,작업치료사,043,3
306600,임상심리사(심리치료사),043,3
306700,재활공학 기사(의지보조기기사),043,3
306800,언어 및 청각능력 재활사,043,3
306900,기타 치료·재활사 및 의료기사,043,3
306901,놀이·음악·미술·독서 등 치료사,043,3
306902,운동처방사,043,3
044,그 외 보건·의료 종사자,04,2
026502,병원행정 사무원(원무),044,3
029210,병원 코디네이터,044,3
307100,"응급 구조사(인명구조원, 119구조대원 포함)",044,3
307200,위생사,044,3
307300,안경사,044,3
307400,보건의료정보 관리사(의무기록사),044,3
307500,간호조무사,044,3
307501,간호조무사(요양병원 제외),044,3
307502,요양병원 간호조무사,044,3
307600,환자안전 관리사,044,3
307700,수의사 보조원,044,3
307800,안마사,044,3
307900,기타 돌봄 및 보건 서비스 종사원,044,3
307901,의료 보조원,044,3
307902,산후조리 종사원(산모 도우미),044,3
307903,기타 보건·의료 서비스 종사원,044,3
550101,요양보호사(노인요양사),044,3
550102,재가 요양보호사,044,3
550201,간병인,044,3
550202,재가 간병인,044,3
550500,육아 도우미(베이비시터),044,3
05,예술·디자인·방송·스포츠,,1
051,"작가, 통·번역 및 출판물 전문가",05,2
029902,출판·자료 편집 사무원,051,3
411100,작가,051,3
411200,번역가 및 통역가,051,3
411201,번역가(영어),051,3
411202,번역가(중국어),051,3
411203,번역가(일본어),051,3
411204,번역가(기타 언어),051,3
411205,통역가(영어),051,3
411206,통역가(중국어),051,3
411207,통역가(일본어),051,3
411208,통역가(기타 언어),051,3
411209,수화 및 의료 통역가,051,3
052,기자 및 언론 전문가,05,2
411300,출판물 전문가,052,3
412000,기자 및 언론 관련 전문가,052,3
412001,신문·방송 기자,052,3
412002,잡지·생활정보지 및 기타 기자,052,3
053,학예사·사서·기록물관리사,05,2
413100,학예사 및 문화재 보존원,053,3
413101,학예사(큐레이터),053,3
413102,문화재보존원(컨서베이터),053,3
413200,사서 및 기록물관리사,053,3
413201,사서,053,3
413202,기록물 관리사(기록물관리전문요원),053,3
054,창작·공연 (작가 및 연극 제외),05,2
214701,미술 강사,054,3
214702,음악 강사,054,3
214703,무용 강사,054,3
414100,화가 및 조각가,054,3
414200,사진기자 및 사진사,054,3
414300,만화가 및 만화영화 작가,054,3
414301,만화가,054,3
414302,만화영화 작가(애니메이터),054,3
414400,국악 및 전통 예능인,054,3
414500,지휘자‧작곡가 및 연주가,054,3
414600,가수 및 성악가,054,3
414700,무용가 및 안무가,054,3
414900,기타 시각 및 공연 예술가,054,3
414901,조련사(공연)·마술사 등 기타 시각 및 공연 예술가,054,3
414902,동화구연사,054,3
417100,공연 및 시각예술 기획자,054,3
055,제품·패션·실내장식·시각 디자이너,05,2
159100,제도사,055,3
415100,제품 디자이너,055,3
415101,기계·자동차·금속 제품 디자이너,055,3
415102,조명·전기·전자·통신 기기 디자이너,055,3
415103,가구 디자이너,055,3
415104,"팬시, 귀금속, 생활잡화 등 기타 제품 디자이너",055,3
415200,패션 디자이너,055,3
415201,의상 디자이너,055,3
415202,직물(텍스타일) 디자이너,055,3
415203,가방·신발·엑세서리 디자이너,055,3
415300,실내장식 디자이너,055,3
415301,인테리어 디자이너,055,3
415302,무대·세트·디스플레이 디자이너,055,3
415400,시각 디자이너,055,3
415401,광고디자이너,055,3
415402,책·인쇄물·출판 디자이너,055,3
415403,포장디자이너,055,3
415404,일러스트레이터·삽화가,055,3
415405,색채전문가(컬러리스트),055,3
415406,기타 시각 디자이너,055,3
701603,"내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)",055,3
056,미디어콘텐츠·UX/UI 디자이너,05,2
415500,미디어 콘텐츠 디자이너,056,3
415501,웹 디자이너,056,3
415502,게임 디자이너,056,3
415503,그래픽아트 기술자,056,3
415504,UX/UI 디자이너,056,3
415505,기타 미디어 콘텐츠 디자이너,056,3
057,연극·영화·방송 (방송기술 포함),05,2
416100,감독 및 기술 감독,057,3
416200,배우 및 모델,057,3
416301,아나운서 및 리포터,057,3
416302,쇼핑호스트,057,3
416303,사내(장내) 방송 아나운서,057,3
416400,촬영기사,057,3
416500,음향 및 녹음 기사,057,3
416600,영상·녹화 및 편집 기사,057,3
416700,조명기사 및 영사기사,057,3
416800,미디어 콘텐츠 창작자,057,3
416900,기타 연극·영화 및 영상 관련 종사원,057,3
416901,"방송연출 보조(AD, FD)",057,3
416902,"엑스트라,소품·무대의상 관리 등 기타 연극·영화·방송 종사원",057,3
058,공연·음반 기획 및 매니저,05,2
024401,행사·이벤트 기획자,058,3
024402,전시·회의 기획자,058,3
417100,공연 및 시각예술 기획자,058,3
417200,영화 및 음반 기획자,058,3
059,스포츠·레크리에이션,05,2
417300,연예인 및 스포츠 매니저,059,3
420100,스포츠 감독 및 코치,059,3
420200,직업 운동선수,059,3
420300,경기 심판 및 경기 기록원,059,3
420400,스포츠 강사 및 트레이너,059,3
420401,태권도·검도·합기도 등 무술사범,059,3
420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,059,3
420403,헬스 트레이너,059,3
420404,"에어로빅, 요가 등 기타 스포츠 강사",059,3
420500,기타 스포츠 및 레크리에이션 관련 전문가,059,3
420501,레크리에이션 전문가,059,3
420502,"프로모터, 경주마 조련사 등 기타 스포츠 관련 전문가",059,3
420900,기타 여가 서비스 종사원,059,3
420901,골프장 캐디,059,3
420902,카지노 딜러,059,3
420903,응원단원 및 기타 스포츠·오락 관련 도우미,059,3
06,미용·여행·숙박·음식·경비·돌봄·청소,,1
061,미용 및 반려동물 서비스(수의사보조원 제외),06,2
511100,이용사,061,3
511200,미용사,061,3
511300,네일 관리사(손톱 관리사),061,3
511400,피부 및 체형 관리사,061,3
511401,피부 및 체형 관리사(발관리사 포함),061,3
511402,목욕관리 및 기타 피부미용 종사원,061,3
511500,메이크업 아티스트 및 분장사,061,3
511501,메이크업아티스트 및 뷰티매니저,061,3
511502,분장사·특수분장사,061,3
511900,"기타 미용 관련 서비스 종사원(패션코디, 이미지컨설턴트 등)",061,3
513100,반려동물 훈련사 및 행동 상담사,061,3
513200,반려동물 관리 종사원,061,3
513201,반려동물 미용사,061,3
513202,반려동물 장의사,061,3
062,결혼·장례 등 예식 서비스,06,2
512100,결혼 상담원 및 웨딩플래너,062,3
512101,결혼 상담원,062,3
512102,웨딩 플래너,062,3
512200,혼례 종사원,062,3
512300,장례 상담원 및 장례 지도사,062,3
