비교축,취업대상자,배출비중,공고,수요비중,미스매치,대졸신입공고,N명당_대졸신입1개,연봉중앙,취업률,미취업,4차유지율
경영·사무·금융·영업,7635,34.7,8218,40.2,-5.6,394,19,3120,58.7,3153,69.0
공학·기술·생산,6468,29.4,5298,25.9,3.4,181,36,3000,59.8,2599,75.3
보건·의료,1986,9.0,3384,16.6,-7.5,90,22,3000,75.1,494,75.3
IT·정보통신,1565,7.1,447,2.2,4.9,29,54,3300,49.8,785,70.1
예술·디자인·스포츠,2788,12.7,895,4.4,8.3,31,90,3009,57.6,1181,45.2
교육·복지·공공,825,3.7,1442,7.1,-3.3,312,3,2760,55.9,364,66.6
운송·물류,647,2.9,673,3.3,-0.4,2,324,3600,75.4,159,81.1
농림수산,100,0.5,67,0.3,0.1,1,100,2910,60.0,40,63.3
