사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력,급여,지역표기,출처
잡코리아부산,동국씨엠㈜,[부산공장] 2026년 생산 지원직 상시 채용 인재Pool 모집,"중장비운전, 천정크레인, 대형트럭, 철강재포장",신입·경력,계약직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49597665?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49597665,2026-09-08 14:58:37,고졸↑,,부산 남구,jobkorea
잡코리아부산,동국씨엠㈜,[부산공장] 2026년 생산 지원직/별정직 상시 채용 인재Pool 모집,"대형트럭, 천정크레인, 철강재포장, 조업부재료운반/지원, 중장비운전, 지게차운전",신입·경력,계약직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49597624?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49597624,2026-09-08 14:58:37,고졸↑,,부산 남구,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[대기업계열사/주 5일] `차이797 롯데부산본점` 중식 주방 매니저 (정규직),"중식, 프랜차이즈, 호텔, 호텔, 호텔, 중식, 중식",경력1년↑,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49649220?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49649220,2026-09-08 14:58:37,학력무관,,부산 부산진구 외,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[대기업계열사/주5일]`차이 딤섬앤누들바 신세계센텀점` 주방 정직원 모집,"중식, 호텔, 프랜차이즈, 호텔, 호텔, 양식, 중식, 한식, 일식, 중식",신입·경력,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49728462?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49728462,2026-09-08 14:58:37,학력무관,,부산 해운대구,jobkorea
잡코리아부산,씨에스원파트너,(경력자 프로모션 지급)LG유플러스 자회사 영업/아웃바운드/기본급 보장,"전산입력, 사이트관리, 문서관리, 콜센터, 전화상담, 고객지원, 프런트, 고객응대, 문서작성, 컨시어지, 해지방어, 더존, 기술상담, 고객안내, A·S상담",경력무관,정규직,부산,,2026-09-11,https://www.jobkorea.co.kr/Recruit/GI_Read/49692369?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49692369,2026-09-08 14:58:37,고졸↑,260~400만원(월),부산 중구,jobkorea
잡코리아부산,한신전자㈜,[부설기술연구소] 하드웨어(H/W) 개발 연구원 모집,"전자회로, 회로설계, Hardware, 정보통신·IT, Firmware, R&D",경력3년↑,정규직,부산,,2026-09-28,https://www.jobkorea.co.kr/Recruit/GI_Read/49680661?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49680661,2026-09-08 14:58:37,학력무관,,부산 영도구,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[신규 오픈/대기업계열사]`서리재 동부산롯데아울렛점` 한식 주방 (정규직),"중식, 양식, 일식, 호텔, 일식, 양식, 프랜차이즈, 호텔, 호텔, 양식, 중식, 한식, 일식, 중식, 한식, 한식",신입·경력1년↑,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49739128?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49739128,2026-09-08 14:58:37,학력무관,,부산 기장군 외,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[서면역/대기업계열사/주 5일] `서리재 롯데부산본점` 홀 정규직,"음식료, 프랜차이즈, 양식, 중식, 한식, 호텔, 서빙, 양식, 중식, 한식, 호텔, 서빙, 고객응대, 식품판매, 캐셔, 고객안내",경력1년↑,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49595128?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49595128,2026-09-08 14:58:37,학력무관,,부산 부산진구 외,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[대기업계열사/주 5일]`서리재 롯데부산본점`한식 주방 선임매니저(정규직),"음식료, 프랜차이즈, 양식, 일식, 중식, 한식, 호텔, 양식, 일식, 중식, 한식, 호텔, 양식, 일식, 중식, 한식, 호텔",경력8년↑,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49557307?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49557307,2026-09-08 14:58:37,학력무관,,부산 부산진구 외,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[대기업계열사/주 5일] `차이797 롯데광복점` 중식 주방 매니저 (정규직),"중식, 프랜차이즈, 호텔, 호텔, 호텔, 중식, 중식",경력3년↑,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49649163?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49649163,2026-09-08 14:58:37,학력무관,,부산 중구 외,jobkorea
잡코리아부산,㈜드림,ENMS(에너지경영시스템) 사업부 신입·경력 정규직 채용,"고객관리, 거래처관리, 솔루션영업, 기술영업",신입·경력,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49622670?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49622670,2026-09-08 14:58:37,초대졸↑,"3,400~4,200만원",부산 사상구,jobkorea
