사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력,급여,지역표기,출처
잡코리아부산,㈜케이티샛,kt sat 2026년 하반기 경력직 공개채용,"네트워크관리, GUI, SI개발, 거래처관리, 펌웨어, SI개발, 영업기획, PL, 솔루션스아키텍트, 신사업기획, 서버구축, 시스템운영, PM, 서버관리, 영업전략, 시스템운영, 사업기획, 시스템분석, 거래선개발관리, 네트워크관리, 매출관리, 시스템설계, 인터페이스, 전략기획, 데이터분석, 클라우드개발자, 연구기획, 서버구축, 반응형웹, PO, 서버관리, 클라우드아키텍트, 클라이언트, 핀테크, 경영기획, 네트워크관리, HTTP",경력3년↑,정규직,"서울, 부산",,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49928440?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49928440,2026-09-08 14:58:33,대졸↑,,부산 중구 외,jobkorea
잡코리아부산,㈜부산은행,[접수기간 연장] BNK부산은행 수도권 수신RM 채용공고,"수신 RM, 금융, 은행, 시장분석, 시장조사, 데이터분석, 전략기획, 법인고객영업, 여신상담, 자산관리, 재무상담, 퇴직연금, 투자상담·자문, 거래처관리, 고객관리, 외환관리, 입출금관리, 채권, 퇴직연금, 금융상품기획, 여신상담, 재무상담, 퇴직연금",경력,계약직,"서울, 경기, 인천, 부산",,2026-09-16,https://www.jobkorea.co.kr/Recruit/GI_Read/49889790?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49889790,2026-09-08 14:58:33,학력무관,,부산 남구 외,jobkorea
잡코리아부산,한국산업은행,한국산업은행 2026년 3차 청년인턴 채용공고,"국제금융, 금융, 은행, 문서관리, 문서작성, 전산입력, 서무, 자료조사, 행정, 송무담당, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 거래처관리, 고객관리, 외환관리, 입출금관리, 채권, 퇴직연금, 금융상품기획, 방카슈랑스, 여신상담, 외환관리, 재무상담, 채권, 퇴직연금, PB",신입·경력,인턴,"서울, 경기, 대구, 경북, 부산, 경남",,2026-09-22,https://www.jobkorea.co.kr/Recruit/GI_Read/49946827?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49946827,2026-09-08 14:58:33,학력무관,216만원 이상(월),부산 전지역 외,jobkorea
잡코리아부산,프라이덴,사무보조 및 고객응대 사원 채용,"광고기획, 더존, 문서관리, 문서작성, 자산관리, 전산입력, 사이트관리, 접수·예약, 단순안내, 방문상담, 고객응대, 고객안내",경력무관,정규직,부산,,2026-10-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49948755?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49948755,2026-09-08 14:58:33,학력무관,300만원 이상(월),부산 해운대구,jobkorea
잡코리아부산,㈜알슨코리아(ARSN KOREA),"2026년도 자동차 Exterior / Interior 용품 설계, 개발 업무 담당 경력자 채용","자동차부품, 품질시스템, 자동차, 자동차부품, 금속, 생산기술, 자동차, 제품개발, CAM, 기계조작, 캐드원, 3D설계, 금형설계, 기구설계, CAM, 2D설계, 자동제어, 공정개발, 자동화라인, 품질테스트, 자동차, 제품개발, R&D, 제조·공정, 생산관리, 품질보증, ISO, 검증, 품질보증, ISO",경력5년↑,정규직,"경북, 부산, 울산",,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49944626?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49944626,2026-09-08 14:58:33,대졸↑,,부산 기장군 외,jobkorea
잡코리아부산,주식회사 플레이유,[옥외광고물 시공팀] 종합광고대행사 (주)플레이유 부산본사 시공팀 사원,"옥외광고물 시공, 광고대행, 홍보대행, 옥외광고, 옥외광고",신입·경력,계약직,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49943753?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49943753,2026-09-08 14:58:33,고졸↑,280~450만원(월),부산 기장군,jobkorea
잡코리아부산,명작수학센텀시티점학원,명작수학학원 중등 대상 선생님 모집합니다,"수학강사, 보습학원, 입시학원, 입시학원, 일반학원, 입시학원",경력무관,,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49941309?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49941309,2026-09-08 14:58:33,초대졸↑,350만원 이상(월),부산 해운대구 외,jobkorea
잡코리아부산,㈜디그니티그룹,[거제 스터번호텔] 프론트&레스토랑 매니저 채용 1인1실 기숙사운영,"관광, 호텔리어, 프론트, 호텔, 프런트",신입·경력2년↑,정규직,"부산, 울산, 경남",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49940248?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49940248,2026-09-08 14:58:33,학력무관,"3,840만원 이상",부산 전지역 외,jobkorea
잡코리아부산,㈜아리랑플라워,주4일근무 정규직 직원채용,"꽃집, 콜센터, 전산입력, 전산입력, 사이트관리, 고객지원, 접수·예약, 단순안내, 배송상담",경력무관,정규직,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49940893?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49940893,2026-09-08 14:58:33,고졸↑,"2,640만원 이상",부산 해운대구 외,jobkorea
잡코리아부산,㈜대경아이디,인테리어 공사부 경력직 채용 ( 대리 - 차장 ),"현장소장, 시공관리",경력,정규직,"부산, 경남",,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49936995?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49936995,2026-09-08 14:58:33,학력무관,"3,600~6,000만원",부산 금정구 외,jobkorea
잡코리아부산,우리파트너스 대부중개,햇살론 2차 상담사 모집 (경력 무관),"금융상담, 대출상담, 단순안내",경력무관,,부산,,2026-10-05,https://www.jobkorea.co.kr/Recruit/GI_Read/49928842?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49928842,2026-09-08 14:58:33,학력무관,,부산 북구 외,jobkorea
잡코리아부산,㈜더블에이치렌트카 부산지점,[더블에이치렌트카-부산지점] 배/반차 직원 모집,"렌트카, 사고대차, 수입차, 렌터카, 배차, 배차, 택배, 납품기사, 배송기사, 운송보조, 퀵서비스, 운송보조, 수행기사, 승용기사, 운전기사, 세차, 주유",신입·경력,정규직,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49936941?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49936941,2026-09-08 14:58:33,학력무관,"2,800만원 이상",부산 부산진구 외,jobkorea
잡코리아부산,텔유어월드,[파크골프 성장시장] 파크골프 용품 세일즈 영업 담당자 채용,"골프영업, 시각디자인, 국내영업, 장비영업",신입·경력,,"서울, 경기, 인천, 대전, 세종, 충남, 충북, 전남광주, 전북, 경북, 부산, 경남, 제주, 전국",,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49935969?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49935969,2026-09-08 14:58:33,학력무관,,부산,jobkorea
잡코리아부산,㈜일조디앤엠,2026년 사무직/비서/경리/리셉션 채용,"매입매각, 부동산개발, 부동산관리, 부동산컨설팅, 부동산투자, 전략기획, 콘텐츠기획, 문서관리, 문서작성, 행정, 문서관리, 문서작성, 자산관리, 사이트관리, 임원비서, 송무비서, 결산, 전표입력, ERP운용, 바이럴마케팅, SNS마케팅, 콘텐츠기획, SNS마케팅, 오프라인마케팅, 고객응대, 컨시어지, 프런트, 고객안내",경력무관,,부산,,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49934046?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49934046,2026-09-08 14:58:33,학력무관,300만원 이상(월),부산 해운대구 외,jobkorea
잡코리아부산,㈜씨앤엠,(주)씨앤엠 기업 경영공시 IR 담당 경력직 모집,"자동차부품, 재무기획",경력5년↑,정규직,"부산, 경남",,2026-09-23,https://www.jobkorea.co.kr/Recruit/GI_Read/49932945?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49932945,2026-09-08 14:58:33,대졸↑,,부산 전지역 외,jobkorea
잡코리아부산,메리츠화재해상보험㈜,"[메리츠화재] 콜센터 인바운드 상담사 채용(영업X,일반상담,부산)","보험영업, 생명보험, 손해보험, 손해사정, 화재보험, 고객지원, 금융상담, 단순안내, 민원상담, 전화상담, 해피콜, 전화상담, 텔레마케팅",경력무관,,부산,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49878174?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49878174,2026-09-08 14:58:33,학력무관,216~296만원(월),부산 동구,jobkorea
잡코리아부산,㈜콘크리트공작소,현장관리소장 및 안전관리자 채용,"시공관리, 안전평가, 건축시공, 시공관리, 건설안전, 안전평가, 건설노무",신입·경력,정규직,"서울, 부산",,2026-10-05,https://www.jobkorea.co.kr/Recruit/GI_Read/49931439?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49931439,2026-09-08 14:58:33,초대졸↑,,부산 영도구 외,jobkorea
잡코리아부산,㈔한국나눔연맹,[대구/구미/부산/울산/마산] 월380만 영업 홍보팀 모집(외근직) 신입/경력 가능,"라이센싱, 사회복지, 옥외광고, 프로모션, 키워드광고, 브랜딩, 프로모션, 오프라인마케팅, 기업홍보, 온라인영업, 언론홍보, 기업홍보, 기업홍보, 언론홍보, BTL, 이벤트기획, 시장분석, 오프라인영업, 이벤트기획",신입·경력,정규직,"대구, 경북, 부산, 울산, 경남",,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49913633?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49913633,2026-09-08 14:58:33,고졸↑,300~350만원(월),부산 부산진구 외,jobkorea
잡코리아부산,TKG태광(주),[TKG태광] 26년 3분기 수시채용,"패턴설계, 치공구개발, 사업기획, 데이터분석, 신사업기획, PM, PL, 결산, 관리회계, 더존, 전표입력, ERP운용, 계산서발행, 기업회계, 결산, 급여관리, 더존, 부가세신고, 전표입력, ERP운용, 계산서발행, 검증, 테스터, 납품, 물류센터, 재고관리, 창고관리, 생산기술, 제품개발, 제어·설계, 기계조작, 금형설계, 제품개발, 기계조작, 생산관리, 품질보증, 검증, 품질보증, 분양상담, 부동산개발, 분양대행, 분양상담, 시설점검",신입·경력5년↑,정규직,"대구, 경북, 부산, 울산, 경남, 아시아·중동",,2026-09-20,https://www.jobkorea.co.kr/Recruit/GI_Read/49928254?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49928254,2026-09-08 14:58:33,학력무관,,부산 전지역 외,jobkorea
잡코리아부산,㈜신건,[근무차량지원] 쿠팡배송기사모집 주.야간선택 부산 전 지역,"상품입출고, 창고관리, 조립, 중장비운전, 운송보조, 육상운송, 재고관리, 물류센터, 배송, 금속, 납품, 운송, 적재·하역, 납품, 물류센터, 배송, 쿠팡, 배차, 상품입출고, 재고관리, 기계조작, 퀵서비스, 설비, 배송기사, 납품기사, 배차, 신건, 보세운송, 사출, 외주관리, 음식배달, 택배, 택배, 화물차운전, 운송보조, 물류",경력무관,,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49924473?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49924473,2026-09-08 14:58:33,학력무관,"6,000~7,000만원",부산 전지역 외,jobkorea
잡코리아부산,㈜신건,[근무차량지원] 쿠팡배송기사모집 주.야간선택 강원 부산,"상품입출고, 창고관리, 조립, 중장비운전, 운송보조, 육상운송, 재고관리, 물류센터, 금속, 납품, 운송, 적재·하역, 납품, 물류센터, 배송, 배차, 상품입출고, 재고관리, 기계조작, 퀵서비스, 설비, 배송기사, 납품기사, 배차, 보세운송, 사출, 외주관리, 음식배달, 택배, 화물차운전, 운송보조, 물류",경력무관,,"부산, 강원",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49924477?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49924477,2026-09-08 14:58:33,학력무관,"6,000~7,000만원",부산 금정구 외,jobkorea
잡코리아부산,㈜신건,[근무차량지원] 쿠팡배송기사모집 주.야간선택 경북 부산,"상품입출고, 창고관리, 조립, 중장비운전, 운송보조, 육상운송, 재고관리, 물류센터, 금속, 납품, 운송, 적재·하역, 납품, 물류센터, 배송, 배차, 상품입출고, 재고관리, 기계조작, 퀵서비스, 설비, 배송기사, 납품기사, 배차, 보세운송, 사출, 외주관리, 음식배달, 택배, 화물차운전, 운송보조, 물류",경력무관,,"경북, 부산, 울산",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49924474?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49924474,2026-09-08 14:58:33,학력무관,"6,000~7,000만원",부산 강서구 외,jobkorea
잡코리아부산,㈜디엠코스메틱스코리아,"[다니엘 트루스] 전국 백화점, 매장 세일즈(판매직) 직원 채용","무역업, 매니저, 백화점, 숍마스터, 유통, 유통관리, 판매, 화장품매장, 국내영업, 화장품영업, 납품영업, 유통영업, 거래처관리, 가맹영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업기획, 영업전략, 고객응대, 매출관리, 샵마스터, 잡화판매, 재고관리, 진열관리, 캐셔, 판매관리, 판매영업, 화장품판매, 고객안내",경력무관,정규직,"서울, 경기, 부산, 경남",,2026-10-04,https://www.jobkorea.co.kr/Recruit/GI_Read/49924825?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49924825,2026-09-08 14:58:33,학력무관,,부산 해운대구 외,jobkorea
잡코리아부산,㈜더몰론코리아,[강소기업] 단순생산직 경력무관 모집(신입지원가능),"출하, 포장, 도료, 화학, 기계조작, 비금속, 생산관리",신입,정규직,"부산, 경남",,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49926813?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49926813,2026-09-08 14:58:33,고졸↑,"2,900만원 이상",부산 강서구 외,jobkorea
잡코리아부산,현대해상화재보험㈜,2026년 현대해상 하반기 경력직 채용,"지점장, 기업금융, 손해보험, 사업기획, 재무기획, 데이터분석, 전략기획, 전산입력, 공증, 문서작성, 소송·민사·등기, 사내변호사, 공증, 소송·민사·등기, 저작권, 지적재산권, 사내변호사, 상표담당, 컴플라이언스, 특허담당, 송무담당, 인사기획, 교육기획, 면접·채용, 인재발굴, 인재관리, 채용대행, 인재컨설팅, 인재발굴, 인재관리, 채용대행, 전산회계, 기업회계, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 설문조사, 시장분석, 시장조사, 통계·분석, 프로모션, 시스템설계, 시스템운영, 자산관리, 투자상담·자문, 가맹점관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업기획, 데이터분석, 영업전략, 채권, 금융상품기획, 대출심사, 채권, 투자심사, 채권, 위험분석·관리, 투자상담·자문, 자산운용, 위험분석·관리, 투자상담·자문, 자산운용",경력2년↑,,"서울, 경기, 인천, 충남, 충북, 전남광주, 전북, 대구, 경북, 부산, 울산, 경남, 강원, 전국",,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49910720?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49910720,2026-09-08 14:58:33,학력무관,,부산,jobkorea
잡코리아부산,㈜디에스원,KT아파트 유무선 영업자 모집 타지역가능,"고객관리, TV, 거래처관리, 휴대전화영업, 휴대폰, 영업기획, 인터넷, 영업전략, 가맹점관리, 기술영업, 하이오더, 거래선개발관리, 소상공인영업, 거래처관리, 대리점관리, 텔레콤, 통신, 인터넷전화, 네트워크영업, 유심이동, 국내영업, 일반전화",신입·경력,,부산,,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49917544?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49917544,2026-09-08 14:58:33,학력무관,250만원 이상(월),부산 부산진구 외,jobkorea
잡코리아부산,㈜제이아이씨글로벌,이스트퍼시픽트레이드(ept) 부산 광복점 매장 부매니저 채용공고,"상품입출고, 창고관리, VMD, 고객안내, 판매, 의류판매, 재고관리, 고객안내, 샵마스터, 매출관리, 재고관리, 프런트, 고객응대, 고객응대, 판매관리, 잡화판매, 진열관리, 고객응대, 재고관리, 캐셔, 판매영업, 고객안내",경력1년↑,정규직,부산,,2026-10-03,https://www.jobkorea.co.kr/Recruit/GI_Read/49919193?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49919193,2026-09-08 14:58:33,고졸↑,,부산 중구 외,jobkorea
잡코리아부산,에이엔티코리아㈜,해외영업팀 / 대테러 영업팀 각 분야 모집,"수중, 화약, EOD, 대테러, 무역업, 수출입계약, 오더관리, 통관, 통관대리인, 수출입관리, 장비영업, 바이어개발, 수출입계약, 영어, 거래처관리, 장비영업, 동시통역, 영어",경력,정규직,"서울, 경기, 인천, 부산, 경남",,2026-09-17,https://www.jobkorea.co.kr/Recruit/GI_Read/49911127?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49911127,2026-09-08 14:58:33,초대졸↑,,부산 전지역 외,jobkorea
잡코리아부산,한림기계㈜,한림기계 부산지사 세차기 A/S 사원 충원 ( 1명 모집 ),"기계, 기계설비, 기술지원, 설치, 유지보수, A·S수리, A·S수리, 기술지원, 설치, 유지보수, 기계조작",신입·경력,정규직,"부산, 경남",,2026-09-16,https://www.jobkorea.co.kr/Recruit/GI_Read/49904595?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49904595,2026-09-08 14:58:33,고졸↑,,부산 금정구 외,jobkorea
잡코리아부산,수소선박기술센터,[부산대학교 수소선박기술센터] 연구원 채용 공고,"선박, 배터리, 연료전지, 수소엔진, 공공기관, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, 메카트로닉스, 생산기술, 조선, 제어·설계, 기구설계, 전기설계, 회로설계, 에너지, 자동제어, 품질테스트, R&D, 연구·실험·기술, 화학·섬유",경력무관,계약직,부산,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49910743?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49910743,2026-09-08 14:58:33,대졸↑,,부산 남구 외,jobkorea
잡코리아부산,㈜ 에어로피에치이,ACC(AIR COOLED CONDENSER) 현장 공사감독 계약직 채용,"시공관리, 안전평가, 건설안전, 열교환기, 안전평가, 건설노무",경력10년↑,계약직,"서울, 부산",,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49900917?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49900917,2026-09-08 14:58:33,학력무관,,부산 전지역 외,jobkorea
잡코리아부산,DB손해보험㈜,DB손해보험㈜  보상처리담당자 모집,"DB손해보험㈜, 보헙업무, 부산TC, 보험영업, 문서관리, 자산관리, 전산입력, 보험영업, 자산관리, 재무상담, 투자상담·자문, 고객관리, 보험영업, 보험상담, 보험사고, 투자심사, 보상, 손해평가",신입·경력,,부산,,2026-09-25,https://www.jobkorea.co.kr/Recruit/GI_Read/49901762?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49901762,2026-09-08 14:58:33,학력무관,,부산 부산진구 외,jobkorea
잡코리아부산,㈜피알앤디테크베이,[ 헤이딜러 ] 2026 대규모 채용,"모바일App, 스마트폰, 아이폰, 안드로이드, 경영기획, 문서작성, 통계·분석, 자료조사, 문서관리, 문서작성, 전산입력, 사이트관리, 행정, 문서관리, 비품관리, 자산관리, 서무, 행정, 문서작성, 소송·민사·등기, 사내변호사, 인사기획, 인사행정, 교육기획, 급여관리, 면접·채용, 평가·보상, 복리후생, 조직문화, 4대보험, 결산, 관리회계, 더존, 법인결산, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, ERP운용, 계산서발행, 기업회계, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 광고기획, 브랜딩, 시장분석, 시장조사, 포지셔닝, 브랜드기획, 바이럴마케팅, 키워드광고, 디지털마케팅, SNS마케팅, 매출관리, 상품입출고, 재고관리, 데이터관리, 검증, 테스터, 상품입출고, 재고관리, 상품입출고, 중고차딜러, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 거래처관리, 고객관리, 외환관리, 입출금관리, 기술지원, 설치, 유지보",신입·경력,,"서울, 경기, 인천, 전남광주, 대구, 부산",,2026-10-02,https://www.jobkorea.co.kr/Recruit/GI_Read/49895078?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49895078,2026-09-08 14:58:33,학력무관,,부산 전지역 외,jobkorea
잡코리아부산,㈜이랜드이츠,"로운 샤브샤브 매장관리자 신입,경력 채용","재고관리, 고객안내, 매출관리, 면접·채용, 판매관리, 식품판매, 캐셔, 고객응대",신입·경력,,"서울, 경기, 전남광주, 부산",,2026-09-27,https://www.jobkorea.co.kr/Recruit/GI_Read/49892522?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49892522,2026-09-08 14:58:33,학력무관,"3,100만원 이상",부산 해운대구 외,jobkorea
잡코리아부산,테슬라코리아,Tesla Korea 2026 대규모 공개 채용,"고객관리, 메카트로닉스, 생산기술, 기업홍보, 복리후생, 거래처관리, 기술지원, 라이센싱, 회로설계, 인공지능, 전략기획, 시장조사, 유지보수, 임베디드, 품질보증, 영업기획, 유지보수, 펌웨어, 프로모션, 회로설계, 검증, 디스플레이, 브랜딩, 수출입계약, 시스템분석, 임베디드, 프로모션, PCB, 영업전략, A·S수리, 정보보안, 구매계약, 오프라인마케팅, 자동제어, 펌웨어, PCB, 자동화라인, 거래선개발관리, 기타외국어, 메카트로닉스, 자동차, 전기설계, 키워드광고, 조직문화, 클라이언트, SI개발, 매출관리, 자동제어, 제어·설계, 면접·채용, 평가·보상, 급여관리, 자재구매, 데이터분석, 기업홍보, 브랜드기획, 제품개발, PLC, 데이터분석, 제어·설계, 아키텍처, 인사행정, 설치, 시스템설계, 시장분석, 외자구매, 인사기획, 자동차, 품질테스트, 에너지, 회로설계, 교육기획, 바이럴마케팅, 생산기술, 자동차영업, 자동차정비, 환경관리, 공정개발, 기계조작, 디지털마케팅,",신입·경력,,"서울, 경기, 인천, 대전, 전남광주, 전북, 대구, 부산, 경남, 제주, 전국",,,https://www.jobkorea.co.kr/Recruit/GI_Read/49889651?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49889651,2026-09-08 14:58:33,학력무관,,부산,jobkorea
잡코리아부산,제일약품㈜,[제일약품 그룹] 부문별 인재모집,"고객관리, 문서작성, 상품입출고, 전산입력, 제약영업, 창고관리, 상표담당, 컴플라이언스, 특허담당, 거래처관리, 라이센싱, 저작권, 제품개발, 복리후생, 연구·실험·기술, 전략기획, 행정, 시장조사, 품질보증, 미생물, 자료조사, 자료조사, 특허담당, 생산관리, 재고관리, 제약영업, 테스터, 품질보증, 송무담당, 검증, 문서작성, 물류센터, 웹마스터, 저작권, RA, 납품, 브랜딩, 의약, 제조·공정, 배차, 상품입출고, 영어, 재고관리, 기계조작, 자동화라인, RA, 거래선개발관리, 기타외국어, 문서작성, 통계·분석, 건강, 생명공학, 의약외품연구, 거래처관리, 비품관리, HACCP, 기업홍보, 브랜드기획, 언론홍보, 의료기기, 데이터분석, 사내변호사, 서무, 이벤트기획, 공증, 납품영업, 문서관리, 보세운송, 생명공학, 시장분석, 외주관리, 자재구매, 제약·바이오R&D, 품질테스트, 약사, 외자구매, 자산관리, HACCP, 검증, 공증, 문서관리, 소송·민사·등기, 지적재산권,",신입·경력,,"서울, 경기, 대전, 충북, 전남광주, 전북, 대구, 부산, 경남, 전국",,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49885125?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49885125,2026-09-08 14:58:33,학력무관,,부산,jobkorea
잡코리아부산,㈜신세계센트럴,[신세계센트럴] F&B 전문직 (서비스/조리/베이커) 정규직 채용(서울/부산),"식품, 양식당, 음식료, 카페, 프랜차이즈, 재고관리, 자재구매, 자재구매, 재고관리, 메뉴개발, 양식, 일식, 중식, 한식, 호텔, 메뉴개발, 양식, 일식, 중식, 한식, 호텔, 메뉴개발, 베이커리, 제빵사, 파티쉐, 메뉴개발, 양식, 일식, 중식, 한식, 호텔, 메뉴개발, 베이커리, 양식, 일식, 중식, 한식, 호텔, 서빙, 카운터, 베이커리, 양식, 일식, 중식, 한식, 호텔, 서빙, 카운터, 양식, 일식, 중식, 한식, 호텔, 고객응대, 매출관리, 식품판매, 재고관리, 진열관리, 캐셔, 판매관리, 판매영업, 고객안내",신입·경력,정규직,"서울, 부산",,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49901299?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49901299,2026-09-08 14:58:33,학력무관,,부산 해운대구 외,jobkorea
잡코리아부산,㈜드림인사이트,[부산/코스닥 상장사]검색광고 마케터 채용연계형 인턴 모집,"검색광고영업, 광고대행, 제안·컨설팅, 앱기획, 웹컨설팅, 이미지컨설팅, 시장분석, 기업홍보, 이벤트기획, 키워드광고, 키워드광고, 국내영업, 온라인영업, 가맹점관리, 거래처관리, 고객관리, 매출관리, 고객지원, 단순안내, 온라인상담, 전화상담, 고객경험관리, 해피콜, 회원관리, 전화상담, 텔레마케팅",경력무관,인턴,부산,,2026-09-27,https://www.jobkorea.co.kr/Recruit/GI_Read/49898973?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49898973,2026-09-08 14:58:33,학력무관,,부산 해운대구 외,jobkorea
잡코리아부산,쿠팡로지스틱스서비스(유),[연최대 3500만] 쿠팡CLS 현장사무직(인사/행정/급여 담당자)채용,"물류, 물류관리, 물류센터, 배송, 입출고관리, 인사교육, 인사행정",경력무관,계약직,"서울, 경기, 인천, 충남, 대구, 경북, 부산, 경남, 제주",,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49893215?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49893215,2026-09-08 14:58:33,학력무관,,부산 북구 외,jobkorea
잡코리아부산,한국산업은행,한국산업은행 장애인 전문직원(사무관리) 채용공고,"국제금융, 전산입력, 전산입력, 복리후생, 복리후생, 행정, 부가세신고, 자료조사, 비품관리, 재고관리, 세무신고, 송무담당, 거래처관리, 금융, 문서관리, 청소·미화, 고객관리, 자산관리, 세무조정, 사이트관리, 문서작성, 문서작성, 조직문화, 입출금관리, 면접·채용, 평가·보상, 경력관리, 급여관리, 더존, 자재구매, 세무기장, 서무, 인사행정, 문서관리, 인사기획, 자산관리, 자재구매, 인사교육, 교육기획, 문서관리, 복리후생, 서무, 연말정산, 인사교육, 노사관리, 은행, 행정",경력무관,계약직,"서울, 전남광주, 전북, 대구, 경북, 부산, 울산, 경남",,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49888876?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49888876,2026-09-08 14:58:33,학력무관,,부산 전지역 외,jobkorea
잡코리아부산,㈜프리엠환경,"[부산,경남지역] 서비스매니저(방역사원) 채용","소방·방재, 해충방제, 방역, 소독, 해충방제",경력무관,정규직,"부산, 경남",,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49887435?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49887435,2026-09-08 14:58:33,학력무관,,부산 부산진구 외,jobkorea
잡코리아부산,로담한의원(부산점),[부산서면/주5일제] 피부과 한의원 데스크 코디네이터 추가 구인,"피부과, 한의과",경력무관,정규직,부산,,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49886903?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49886903,2026-09-08 14:58:33,학력무관,,부산 부산진구 외,jobkorea
