사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
게임잡,에이블게임즈,[크레센트] 시니어 3D 애니메이터 채용 (경력 5년 이상),모바일게임,경력 5년 이상,정규직,서울 > 강남구,"3D, 3DSmax, 애니메이션, 3DMax  3D, 3DSmax, 애니메이션, 3DMax",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281914,,2026-09-07 17:58:07
게임잡,에이블게임즈,[크레센트] 콘티/스토리보드 아티스트 (경력 3년 이상),모바일게임,경력 3년 이상,정규직,서울 > 강남구,"시나리오, 스토리보드, 스토리, 콘티  시나리오, 스토리보드, 스토리, 콘티",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281927,,2026-09-07 17:58:08
게임잡,NX3GAMES,[개발실] 모션 캡쳐 운용 담당,"게임개발(모바일), 모델링, 애니메이션, 이펙트·FX, 게임기획",경력 1년 이상,정규직,서울 > 강남구,"애니메이션, 오브젝트, 이펙트, 게임기획, 액션, 모션캡쳐, 액팅, 엔엑스쓰리게임즈, NX3GAMES  애니메이션, 오브젝트, 이펙트, 게임기획, 액션, 모션캡쳐, 액팅, 엔엑스쓰리게임즈, NX3GAMES",상시채용,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281974,,2026-09-07 17:58:09
게임잡,에피드게임즈,[트릭컬 리바이브] 전투 및 밸런스 기획자 추가 채용,게임기획,경력 1년 이상,정규직,서울 > 강남구,"모바일, 게임기획, 밸런스기획, 전투기획  모바일, 게임기획, 밸런스기획, 전투기획",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281996,,2026-09-07 17:58:09
게임잡,에이블게임즈,[크레센트] UI 디자이너 채용 (경력 5년이상),모바일게임,경력 5년 이상,정규직,서울 > 강남구,"인터페이스, UX·UI, 모션  인터페이스, UX·UI, 모션",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282032,,2026-09-07 17:58:09
게임잡,NX3GAMES,[스피릿위시 Plus] 전 부문 채용,"게임개발(모바일), 서버, 엔진",경력 3년 이상,정규직,서울 > 강남구,"C++, XML, MySQL, C#, 서버, 네트워크, Redis, 게임프로그래밍, 게임프로그래머, 엔엑스쓰리게임즈, NX3GAMES, 스피릿위시plus  C++, XML, MySQL, C#, 서버, 네트워크, Re",상시채용,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282100,,2026-09-07 17:58:10
게임잡,기어세컨드,[신규 프로젝트] 게임 클라이언트 개발자,모바일게임,경력무관,정규직,서울 > 성동구,"클라이언트, C, C++, iOS, Android, C#, Unity, 게임프로그래밍, 게임프로그래머  클라이언트, C, C++, iOS, Android, C#, Unity, 게임프로그래밍, 게임프로그래머",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282105,,2026-09-07 17:58:10
게임잡,슈퍼센트,Live-Ops 게임 PD(7년 이상),"게임기획, QA·테스터, 사업기획(국내), 사업기획(해외), 사업관리",경력 7년 이상,정규직,서울 > 송파구,"모바일, 게임기획, PD, QA, 기획, 모바일게임, 시장분석, 라이브지표  모바일, 게임기획, PD, QA, 기획, 모바일게임, 시장분석, 라이브지표",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282211,,2026-09-07 17:58:11
게임잡,웹젠,2026년 웹젠레드스타 수시채용,"게임개발(모바일), 원화, 모델링, 애니메이션, 게임기획",경력무관,정규직,경기 > 성남시 분당구,"C++, 모바일, 배경, 레벨, 원화, 컨셉, 배경원화, 캐릭터, 게임기획, 레벨기획, 시스템기획, 컨텐츠, 모바일UI, Unreal, 게임프로그래밍, mmorpg, spine, UI디자이너, 모델링Smax, 게임기",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282297,,2026-09-07 17:58:11
게임잡,웹젠,2026년 웹젠크레빅스 수시채용,"게임개발(클라이언트), 게임기획",경력무관,정규직,경기 > 성남시 분당구,"클라이언트, C, C++, 모바일, SNG, UX·UI, 레벨, 컨셉, 게임기획, 시나리오, 퀘스트, 밸런스기획, 레벨기획, 시스템기획, 컨텐츠, 유료화, 게임프로그래밍  클라이언트, C, C++, 모바일, SNG,",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282303,,2026-09-07 17:58:12
게임잡,웹젠,2026년 웹젠 수시채용,"게임개발(모바일), 게임기획, 영상제작·편집, 시스템·DB, 전략기획",경력무관,정규직  계약직 (1년) 인턴직 후 정규직 전환 검토 (3개월~6개월 미만),경기 > 성남시 분당구,"게임기획, 영상제작·편집, 서버, MS-SQL, 네트워크, Unreal, Unity, 보안설계, 시스템엔지니어링, 마케팅, 재무, 인사, 게임프로그래밍, 개발PM, 게임마케팅  게임기획, 영상제작·편집, 서버, MS",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282335,,2026-09-07 17:58:12
게임잡,드림에이지(구 HYBE IM),[DRIMAGE] 글로벌 PC/콘솔 게임 마케팅 매니저 (Marketing / Brand Storytelling),"마케팅, 해외 마케팅",경력 3년 이상,정규직,서울 > 강남구,"게임마케팅, PC, 콘솔게임마케팅  게임마케팅, PC, 콘솔게임마케팅",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282340,,2026-09-07 17:58:13
게임잡,스마일게이트 슈퍼크리에이티브 지점,[카오스 제로 나이트메어] 전투 기획자,게임기획,경력 2년 이상,정규직,경기 > 성남시 분당구,"컨텐츠, 기획, 전투, 게임디자인  컨텐츠, 기획, 전투, 게임디자인",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282397,,2026-09-07 17:58:13
게임잡,콩스튜디오코리아,[Project octopus] 유니티 스토리 씬 연출 전문가 채용 (1년 계약직),게임기획,경력 3년 이상,계약직 (1년),서울 > 서초구,"시나리오, Unity, 디자인, 기획, 연출, 대본, 프리팹  시나리오, Unity, 디자인, 기획, 연출, 대본, 프리팹",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282403,,2026-09-07 17:58:14
게임잡,크로노스튜디오,[크로노스튜디오] 아트 PM 채용,"게임기획, 게임운영",경력 2년 이상,정규직,서울 > 강남구,"PM, 개발, 기획, 프로젝트, 서비스, 관리, 아트, 마일스톤, 스케줄  PM, 개발, 기획, 프로젝트, 서비스, 관리, 아트, 마일스톤, 스케줄",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282420,,2026-09-07 17:58:14
