토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
절곡기사,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
조경관리,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
제조단순종사원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
co2용접가능자,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
납품,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
제조업경리,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
가스산업기사,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
판매관리,,,11,농림어업직,학습,50%,2,정답 2건 중 1건이 11 농림어업직 — 세세분류는 흩어진다
정직원,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
실내건축기사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
섬유분야단순노무자,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
운전가능자,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
생산현장직구인(금속가공업),,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
생산현장직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
금속가공업,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
편집디자이너,,,05,예술·디자인·방송·스포츠직,학습,100%,2,정답 2건 중 2건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
음식료품관련생산관리원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
물류기획사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
선반조작원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
공작기계cncmct,,,10,설치·정비·생산직,학습,50%,2,정답 2건 중 1건이 10 설치·정비·생산직 — 세세분류는 흩어진다
경력정규직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
기계가공,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
인공지능엔지니어,,,13,정보통신관련직,학습,100%,2,정답 2건 중 2건이 13 정보통신관련직 — 세세분류는 흩어진다
팀장급,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
사원급,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
제조공장,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
사업기획사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
autocad,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
cnc오퍼레이터,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
위탁급식학교로외근영양사선생님,,,04,보건·의료직,학습,100%,2,정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
영양사선생,,,04,보건·의료직,학습,100%,2,정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
자동차부품구매사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
산모신생아건강관리사,,,04,보건·의료직,학습,100%,2,정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
건강관리사,,,04,보건·의료직,학습,100%,2,정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
어린이집조리사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
수산물단순포장생산직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
연장반교사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
cnc가공,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
금형설계,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
차량목욕요양보호사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
생활복지사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
알곤용접원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
긴급돌봄요양보호사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
일반기계기사,,,02,연구직 및 공학기술직,학습,50%,2,정답 2건 중 1건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
물류입출고원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
창고관리,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
생산직(현장단순직),,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
현장단순직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
현장근로자,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
전기결선및판넬조립,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
대기환경기사,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
단순가공,,,10,설치·정비·생산직,학습,50%,2,정답 2건 중 1건이 10 설치·정비·생산직 — 세세분류는 흩어진다
통영해물밥상,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
요양보호사선생,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
사회복지보조원,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
현장생산직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
에너지관리산업기사,,,02,연구직 및 공학기술직,학습,50%,2,정답 2건 중 1건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
과장,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
방사선,,,04,보건·의료직,학습,50%,2,정답 2건 중 1건이 04 보건·의료직 — 세세분류는 흩어진다
qa,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
건강원종사자,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
기술영업팀,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
영어수출입영업원,,,07,영업·판매직,학습,100%,2,정답 2건 중 2건이 07 영업·판매직 — 세세분류는 흩어진다
3d프린터조작원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
건축시공기사,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
영업및경리직원모집합니다,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
회계사무실넘기기전,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
알곤-steel,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
유통업체식품영업원,,,07,영업·판매직,학습,100%,2,정답 2건 중 2건이 07 영업·판매직 — 세세분류는 흩어진다
정육가공원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
미싱사,,,12,재료·화학·섬유·가스·에너지·환경관련직,학습,50%,2,정답 2건 중 1건이 12 재료·화학·섬유·가스·에너지·환경관련직 — 세세분류는 흩어진다
요양원요양보호사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
건축안전기술자,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
빌딩관리사무소장,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
학교급식보조원,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
범용밀링기보조원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
서류정리원(일반사업체),,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
서류정리원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
객실관리,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
woodenbox제작원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
제빵사,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
수산물생산직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
도장공,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
설거지,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
레이저가공,,,10,설치·정비·생산직,학습,50%,2,정답 2건 중 1건이 10 설치·정비·생산직 — 세세분류는 흩어진다
레이저가공설계,,,10,설치·정비·생산직,학습,50%,2,정답 2건 중 1건이 10 설치·정비·생산직 — 세세분류는 흩어진다
급식조리원,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
필수아,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
토목견적포함,,,02,연구직 및 공학기술직,학습,50%,2,정답 2건 중 1건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
지게차기사,,,08,운전·운송직,학습,100%,2,정답 2건 중 2건이 08 운전·운송직 — 세세분류는 흩어진다
에어백제조업체,,,12,재료·화학·섬유·가스·에너지·환경관련직,학습,100%,2,정답 2건 중 2건이 12 재료·화학·섬유·가스·에너지·환경관련직 — 세세분류는 흩어진다
재가노인복지센터사회복지사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
방문요양보호사선생님,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
재가요양보호사채용정보,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
차트운반원,,,04,보건·의료직,학습,100%,2,정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
영업지원사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
요양보호사를,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
mct가공,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
신규직원,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
5등급,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
환경기사,,,09,건설·채굴직,학습,50%,2,정답 2건 중 1건이 09 건설·채굴직 — 세세분류는 흩어진다
건축현장안전담당자,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
영진,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
주5일,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
주차장관리원,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
독거,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
가공등업무,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
생산직,,,10,설치·정비·생산직,수동,,,생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
단순생산직,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,수동,,,기타 제조 관련 단순 종사원
제조가공,,,10,설치·정비·생산직,수동,,,제조 현장직
사무직,029904,사무 보조원(일반사업체),01,경영·사무·금융·보험직,수동,,,사무 보조원(일반사업체). KECO 명칭은 `사무원`
사무행정,029904,사무 보조원(일반사업체),01,경영·사무·금융·보험직,수동,,,사무 보조원(일반사업체)
영업직,,,07,영업·판매직,수동,,,영업원. 상품·분야 특정 불가
판매직,,,07,영업·판매직,수동,,,판매 종사원
관리직,,,01,경영·사무·금융·보험직,수동,,,관리자. 부문 특정 불가
병동,304000,간호사,04,보건·의료직,수동,,,병동은 근무부서. 부산 공고는 간호사 모집이 대다수
외래,304000,간호사,04,보건·의료직,수동,,,외래 진료실 간호 인력
원무과,026502,병원행정 사무원(원무),01,경영·사무·금융·보험직,수동,,,병원행정 사무원(원무). 진료가 아니라 사무다
수술실,304000,간호사,04,보건·의료직,수동,,,수술실 간호사
주방,532300,주방 보조원,06,미용·여행·숙박·음식·경비·청소직,수동,,,주방 보조원
주방보조,532300,주방 보조원,06,미용·여행·숙박·음식·경비·청소직,수동,,,주방 보조원
홀,531200,한식 조리사,06,미용·여행·숙박·음식·경비·청소직,수동,,,홀 서빙. 음식 서비스 종사원
홀서빙,531200,한식 조리사,06,미용·여행·숙박·음식·경비·청소직,수동,,,음식 서비스 종사원
매장,,,07,영업·판매직,수동,,,매장 판매 종사원
매장관리,,,07,영업·판매직,수동,,,매장 판매 종사원
현장관리,,,10,설치·정비·생산직,수동,,,생산·건설 현장 관리
피부관리사,511400,피부 및 체형 관리사,06,미용·여행·숙박·음식·경비·청소직,수동,,,피부 및 체형 관리사
상담실장,511400,피부 및 체형 관리사,06,미용·여행·숙박·음식·경비·청소직,수동,,,미용·피부 상담실장. 피부 및 체형 관리사 계열
수의테크니션,,,04,보건·의료직,수동,,,동물병원 보조. 세세분류에 항목이 없다
테라피스트,511400,피부 및 체형 관리사,06,미용·여행·숙박·음식·경비·청소직,수동,,,피부 및 체형 관리사 계열
당직전담사,541300,시설 및 특수 경비원,06,미용·여행·숙박·음식·경비·청소직,수동,,,학교 당직 경비 → 시설 및 특수 경비원
통학차량안전도우미,,,06,미용·여행·숙박·음식·경비·청소직,수동,,,돌봄 서비스. 세세분류 항목 없음
미화원,561100,건물 청소원,06,미용·여행·숙박·음식·경비·청소직,수동,,,건물 청소원
미화,561100,건물 청소원,06,미용·여행·숙박·음식·경비·청소직,수동,,,건물 청소원
간병,550201,간병인,06,미용·여행·숙박·음식·경비·청소직,수동,,,간병인
급식,532300,주방 보조원,06,미용·여행·숙박·음식·경비·청소직,수동,,,급식 조리·배식. 주방 보조원
보안,541300,시설 및 특수 경비원,06,미용·여행·숙박·음식·경비·청소직,수동,,,시설 및 특수 경비원
캐셔,,,07,영업·판매직,수동,,,판매 종사원(계산원)
고객응대,029202,콜센터 상담원(콜센터·고객센터·CS센터),01,경영·사무·금융·보험직,수동,,,콜센터·고객센터 상담원
인바운드,029202,콜센터 상담원(콜센터·고객센터·CS센터),01,경영·사무·금융·보험직,수동,,,인바운드 상담. 콜센터 상담원
콜센터,029202,콜센터 상담원(콜센터·고객센터·CS센터),01,경영·사무·금융·보험직,수동,,,콜센터 상담원
택배기사,,,08,운전·운송직,수동,,,택배원 — 운전·운송직
배송기사,,,08,운전·운송직,수동,,,배송 운전원
물류관리,,,01,경영·사무·금융·보험직,수동,,,자재·물류 사무원
출고,,,08,운전·운송직,수동,,,하역·적재 — 운송 관련
유지보수,,,10,설치·정비·생산직,수동,,,설비 정비. 분야 특정 불가
시설관리,834002,빌딩 전기관리원,10,설치·정비·생산직,수동,,,빌딩 전기관리원
공무,,,10,설치·정비·생산직,수동,,,제조업 공무팀(설비 관리)
노무,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,수동,,,제조 단순 종사원
작업자,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,수동,,,제조 단순 종사원
md,024302,머천다이저(MD),01,경영·사무·금융·보험직,수동,,,머천다이저(MD)
cs,029202,콜센터 상담원(콜센터·고객센터·CS센터),01,경영·사무·금융·보험직,수동,,,CS센터 상담원
pm,,,01,경영·사무·금융·보험직,수동,,,프로젝트 관리자. 부문 특정 불가
r&d,,,02,연구직 및 공학기술직,수동,,,연구개발. 분야 특정 불가
cad,,,02,연구직 및 공학기술직,수동,,,제도·설계 — 공학기술직
캐드,,,02,연구직 및 공학기술직,수동,,,제도·설계 — 공학기술직
치과,307200,위생사,04,보건·의료직,수동,,,치과 진료 보조. 치과위생사 계열
치위생,307200,위생사,04,보건·의료직,수동,,,치과위생사
피부과,307500,간호조무사,04,보건·의료직,수동,,,피부과 의원. 간호조무사 계열
실장,,,,,수동,,,직급이라 직업을 특정할 수 없다
팀장,,,,,수동,,,직급이라 직업을 특정할 수 없다
부장,,,,,수동,,,직급이라 직업을 특정할 수 없다
엔지니어,,,,,수동,,,분야 없이는 특정 불가
매니저,,,,,수동,,,분야 없이는 특정 불가 — 마케팅·영업·HR 어디에도 붙는다
