토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
금속관련생산관리원,028502,생산관리 사무원(기계·자동차·금속),01,경영·사무·금융·보험직,학습,100%,3,정답 3건 중 3건이 028502 생산관리 사무원(기계·자동차·금속)
고무사출기조작원,852101,고무 사출성형기 조작원,12,재료·화학·섬유·가스·에너지·환경관련직,학습,100%,3,정답 3건 중 3건이 852101 고무 사출성형기 조작원
건축자재영업원,613202,건설자재 영업원,07,영업·판매직,학습,100%,3,정답 3건 중 3건이 613202 건설자재 영업원
공무직원,,,02,연구직 및 공학기술직,학습,67%,3,정답 3건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
플라스틱제품조립원,852402,플라스틱제품 조립원 및 검사원,12,재료·화학·섬유·가스·에너지·환경관련직,학습,100%,3,정답 3건 중 3건이 852402 플라스틱제품 조립원 및 검사원
병동간호사,304002,일반 간호사,04,보건·의료직,학습,100%,3,정답 3건 중 3건이 304002 일반 간호사
방문목욕요양보호사,550100,요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,67%,3,정답 3건 중 2건이 550100 요양보호사
유치원급식조리사,531802,유치원·어린이집 급식 조리사,06,미용·여행·숙박·음식·경비·청소직,학습,100%,3,정답 3건 중 3건이 531802 유치원·어린이집 급식 조리사
아크용접원,824102,"전기용접원(아크,알곤,티그용접원)",10,설치·정비·생산직,학습,100%,3,"정답 3건 중 3건이 824102 전기용접원(아크,알곤,티그용접원)"
건설현장안전관리자,140206,건축안전·환경·품질·에너지관리 기술자,02,연구직 및 공학기술직,학습,100%,3,정답 3건 중 3건이 140206 건축안전·환경·품질·에너지관리 기술자
발달장애인주간활동서비스제공인력,231100,사회복지사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,67%,3,정답 3건 중 2건이 231100 사회복지사
금속,028402,자재·구매 사무원(기계·자동차·금속),01,경영·사무·금융·보험직,학습,67%,3,정답 3건 중 2건이 028402 자재·구매 사무원(기계·자동차·금속)
회계사무장,027102,회계 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,100%,3,정답 3건 중 3건이 027102 회계 사무원(회계·세무 사무소)
경력직,,,01,경영·사무·금융·보험직,학습,67%,3,정답 3건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
병원급식영양사,305000,영양사,04,보건·의료직,학습,100%,3,정답 3건 중 3건이 305000 영양사
선반원,813200,금속 공작기계 조작원,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 813200 금속 공작기계 조작원
cnc밀링기보조원,813213,기타 금속공작기계 조작원 및 보조원,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 813213 기타 금속공작기계 조작원 및 보조원
연근해어부고용,905300,어업 관련 단순 종사원,11,농림어업직,학습,100%,3,정답 3건 중 3건이 905300 어업 관련 단순 종사원
물류관리사무원,028408,물류 사무원(물류 관리사),01,경영·사무·금융·보험직,학습,100%,3,정답 3건 중 3건이 028408 물류 사무원(물류 관리사)
공무팀,,,10,설치·정비·생산직,학습,67%,3,정답 3건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
운전면허필수,,,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 10 설치·정비·생산직 — 세세분류는 흩어진다
전기공사견적기술자,153105,전기공사 기술자(전기견적 포함),02,연구직 및 공학기술직,학습,100%,3,정답 3건 중 3건이 153105 전기공사 기술자(전기견적 포함)
대체교사,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,3,정답 3건 중 3건이 232100 보육교사
영업관리사무원,026202,영업 기획·관리·지원 사무원,01,경영·사무·금융·보험직,학습,100%,3,정답 3건 중 3건이 026202 영업 기획·관리·지원 사무원
영아반담임교사,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,3,정답 3건 중 3건이 232100 보육교사
원장,,,01,경영·사무·금융·보험직,학습,67%,3,정답 3건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
보육교직원,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,3,정답 3건 중 3건이 232100 보육교사
기계제도기능사,159103,기계·금속 제도사(캐드원),02,연구직 및 공학기술직,학습,100%,3,정답 3건 중 3건이 159103 기계·금속 제도사(캐드원)
유압자동선반조작원,813202,범용 선반 조작원,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 813202 범용 선반 조작원
품질팀,,,01,경영·사무·금융·보험직,학습,67%,3,정답 3건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
통조림생산보조원,890006,식품 분야 단순 종사원,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 890006 식품 분야 단순 종사원
배관공,703100,건설 배관공,09,건설·채굴직,학습,67%,3,정답 3건 중 2건이 703100 건설 배관공
제과,871100,제과원 및 제빵사,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 871100 제과원 및 제빵사
재활용품분리수거원,561400,재활용품 및 쓰레기 수거원,06,미용·여행·숙박·음식·경비·청소직,학습,100%,3,정답 3건 중 3건이 561400 재활용품 및 쓰레기 수거원
우수사원,612201,해외 영업원(영어),07,영업·판매직,학습,67%,3,정답 3건 중 2건이 612201 해외 영업원(영어)
전기전자제도사,159104,전기·전자 장비 제도사(캐드원),02,연구직 및 공학기술직,학습,100%,3,정답 3건 중 3건이 159104 전기·전자 장비 제도사(캐드원)
훈련교사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,67%,3,정답 3건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
배전계획원,028504,생산관리 사무원(전기·전자·컴퓨터),01,경영·사무·금융·보험직,학습,100%,3,정답 3건 중 3건이 028504 생산관리 사무원(전기·전자·컴퓨터)
포장원,,,10,설치·정비·생산직,학습,67%,3,정답 3건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
상하차원,624501,하역·적재 종사원,08,운전·운송직,학습,100%,3,정답 3건 중 3건이 624501 하역·적재 종사원
프레스절단가공원,813207,프레스기 및 절단기 조작원,10,설치·정비·생산직,학습,100%,3,정답 3건 중 3건이 813207 프레스기 및 절단기 조작원
물류입고원,028407,창고 관리원(자재 검수원 포함),01,경영·사무·금융·보험직,학습,100%,3,정답 3건 중 3건이 028407 창고 관리원(자재 검수원 포함)
오전주6일3등급여자어르신재가요,550101,요양보호사(노인요양사),06,미용·여행·숙박·음식·경비·청소직,학습,67%,3,정답 3건 중 2건이 550101 요양보호사(노인요양사)
